reviewerID,itemID,overall,fine_feature,coarse_feature
A3CIUOJXQ5VDQ2,B0000530HU,5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.5
A3H7T87S984REU,B0000530HU,5,[0. 5. 0. 0. 0. 0. 0. 0. 0. 0.],0.5218823786740884
A3J034YH7UG4KT,B0000530HU,1,[0.    0.375 0.    0.    0.    0.    0.    0.    0.375 0.   ],0.49375893081552064
A3SFRT223XXWF7,B00006L9LC,5,[0. 0. 0. 0. 0. 5. 0. 0. 0. 0.],0.5093587360259977
A24HQ2N7332W7W,B00006L9LC,5,[0. 0. 0. 0. 0. 0. 5. 0. 0. 0.],0.5281010048731435
A2G90R2ZU6KU5D,B00006L9LC,5,[ 0.     0.     0.     0.    -1.875  0.     0.     0.    -2.5    0.   ],0.49373756432108107
A24W4W9E62FZP2,B00006L9LC,2,[0. 0. 0. 0. 0. 0. 0. 0. 5. 0.],0.5
A7ID5H7FWLJHC,B00006L9LC,1,[0. 0. 0. 0. 0. 0. 0. 0. 5. 0.],0.524971131276878
AYKOSAJTP5AVS,B00006L9LC,1,[0.    0.    0.    0.    0.    0.    0.    5.    3.875 0.   ],0.5031104475146785
A3HIEBXDI9EQA6,B00006L9LC,5,[-0.25 -0.5   0.   -0.5  -0.5  -0.25  0.   -0.25 -0.25 -0.25],0.5062529914126372
A2YDF506DAA5W4,B00006L9LC,1,[0.   0.   0.   0.   0.   0.   0.   3.5  3.25 0.  ],0.5
AKFUG2XFPPWWM,B00006L9LC,5,[0.    1.5   0.    0.    0.    0.    0.    0.    0.125 0.   ],0.4843883312063278
A1T7DRMZ9A9KEA,B00006L9LC,5,[ 0.     0.     0.     0.     0.     0.     0.     0.    -4.375 -1.875],0.5062512164089025
AEL1DK2OJ41ZZ,B00006L9LC,1,[-0.5    0.125 -0.875  0.125  0.125  0.125  0.125  0.125 -0.5    0.125],0.49379028226323135
A2UM2UI2KVHG64,B00006L9LC,1,[0. 5. 0. 0. 0. 5. 0. 0. 0. 0.],0.5062380689906176
ADUKTDKBY4CNP,B00006L9LC,1,[ 0.     0.     0.     0.     0.     0.     0.     0.    -2.625  0.   ],0.48439075365275713
A1118RD3AJD5KH,B00006L9LC,5,[0.75  0.75  0.375 0.75  0.375 0.75  0.75  0.75  0.75  0.375],0.5
AX0ZEGHH0H525,B00006L9LC,5,[ 0.  0.  0.  0. -5.  0.  0.  0.  0.  0.],0.5218571234650553
A1L0QECT7J93ZP,B00006L9LC,5,[0.  0.  0.  0.  0.  2.  0.  0.  1.5 0. ],0.5374462520611928
A1VN560NNZQIR0,B00006L9LC,5,[0. 0. 0. 5. 0. 0. 0. 0. 0. 5.],0.49375036698479463
A39IK7T2K2V2KA,B00006L9LC,5,[ 0.  0.  0.  0.  0.  0.  0.  0. -5.  0.],0.4968369771984269
AYY463Q7V3LTU,B00006L9LC,5,[0.  3.5 0.  0.  0.  0.  0.  0.  0.  0. ],0.4906364670108674
A3L40OCWS1W7R7,B00006L9LC,5,[0.   0.   0.   1.25 0.   0.   0.   0.   0.   0.  ],0.5
