reviewerID,asin,predictRating,T_v,overall,reviewText,filteredReviewText
AYWXVG2OEZLSU,B00123MCL4,1,1,5,I love it!,I love it !
A15T3Y3BL2AJ9V,B00123MCL4,1,1,5,"This is one of the better compilations available. The re-mastering was done very well and doesn't seem to take anything away from the original flair; it does not unduly alter anything either. Good job. It sounds great. It really brings out Buck's and Don's vocals. Occasionally, I listen to it, my mind reaching to much younger years. In the late sixties, I had the good fortune to meet Buck and Don after a life performance I attended. What great guys they were. This CD does them justice. I love it.","This is one of the better compilations available . The re - mastering was done very well and does n't seem to take anything away from the original flair ; it does not unduly alter anything either . Good job . It sounds great . It really brings out Buck 's and Don 's vocals . Occasionally , I listen to it , my mind reaching to much younger years . In the late sixties , I had the good fortune to meet Buck and Don after a life performance I attended . What great guys they were . This CD does them justice . I love it ."
A22KMCKYE5KQ2X,B00123MCL4,1,1,5,"I had this cd before but can't find it. I went thru a phase where it was 100% ole school country before work. It put me in the best possible mood. So I had a nice collection of cds, still do, but this Buck Owens cd I cannot find. So I'm repurchasing  it for my sanity... ;)","I had this cd before but ca n't find it . I went thru a phase where it was 100 % ole school country before work . It put me in the best possible mood . So I had a nice collection of cds , still do , but this Buck Owens cd I can not find . So I 'm repurchasing   it for my sanity ... ;)"
A2TMBMC2TZS2AA,B00123NNO4,1,1,5,Good music from a good time in music.  Great tune to have in your Library.,Good music from a good time in music . Great tune to have in your Library .
A1H8PY3QHMQQA0,B00123NNO4,1,1,5,"The single was great "" lonely Boy"" not sure about the rest of the album. Brings back memories of the 70's","The single was great "" lonely Boy "" not sure about the rest of the album . Brings back memories of the 70 's"
AWT47AHGC2WFB,B00123MCL4,1,1,4,I like it!,I like it !
A12C1OTJ37UUG7,B00123MCL4,1,1,4,Good album for someone checking out Buck Owens,Good album for someone checking out Buck Owens
A2XE7SG4ZFAOIB,B00123MCL4,1,1,5,"There is only one Buck Owens!!, I grew up in his hometown of Bakersfield, and I know all his tunes, used to listen to him at the Crystal Palace, in Bakersfield, all your faves are on this collection, even Tiger By The Tail!!","There is only one Buck Owens ! ! , I grew up in his hometown of Bakersfield , and I know all his tunes , used to listen to him at the Crystal Palace , in Bakersfield , all your faves are on this collection , even Tiger By The Tail ! !"
A2OAKHL0E0A4YQ,B00123MCL4,1,1,5,"I first heard of Buck Owens thru the Beatles' Act Naturally version back in 1965 or so. As time went on I began to appreciate Buck's remarkable band and talent. His records sounded so clean and featured twangy Fender guitars. His band leader, Don Rich was a model of restrained professionalism. Clean and accurate picking, not fast or flashy. Buck was an outstanding singer and his two part harmonies were his trademark. All these songs were No. 1s on the country charts and date from Act Naturally in 1963 to 1988's Streets of Bakersfield with Dwight Yoakum featuring Flaco Jiminez on accordian. WOW! What a great CD this is. There isn't a bad cut on it! If you only want one Buck Owens CD, this is the one! It's too bad most younger people only remember him as a cornfield clown on Hee-Haw, because Buck Owens was truly one of the greatest country stars in its history.","I first heard of Buck Owens thru the Beatles ' Act Naturally version back in 1965 or so . As time went on I began to appreciate Buck 's remarkable band and talent . His records sounded so clean and featured twangy Fender guitars . His band leader , Don Rich was a model of restrained professionalism . Clean and accurate picking , not fast or flashy . Buck was an outstanding singer and his two part harmonies were his trademark . All these songs were No . 1s on the country charts and date from Act Naturally in 1963 to 1988 's Streets of Bakersfield with Dwight Yoakum featuring Flaco Jiminez on accordian . WOW ! What a great CD this is . There is n't a bad cut on it ! If you only want one Buck Owens CD , this is the one ! It 's too bad most younger people only remember him as a cornfield clown on Hee - Haw , because Buck Owens was truly one of the greatest country stars in its history ."
AARJLW29JSF31,B00123MCL4,1,1,5,"For starters, this is a great sounding CD BUT the only addition to it not found on Rhino Records earlier releases of Buck Owens ""Greatest"" (Volume 1 and 2 is the ""Streets Of Bakersfield/Dwight Yoakam""..if you want this cut in an elegant looking cover photo with less tracks than the earlier 2 volumes than this is for you.
The earlier releases of Vol. 1 and 2 both boast strong liner notes and the usual superb sound quality Rhino is known for.
You can't go wrong either way.","For starters , this is a great sounding CD BUT the only addition to it not found on Rhino Records earlier releases of Buck Owens "" Greatest "" ( Volume 1 and 2 is the "" Streets Of Bakersfield / Dwight Yoakam"" .. if you want this cut in an elegant looking cover photo with less tracks than the earlier 2 volumes than this is for you . The earlier releases of Vol . 1 and 2 both boast strong liner notes and the usual superb sound quality Rhino is known for . You ca n't go wrong either way ."
