reviewerID,asin,predictRating,T_v,overall,reviewText,filteredReviewText
AZRPGTU8A7KD5,B001TXZQDS,-1,1,5,stephen stills wrote it. neil young didn't. and it's not about kent state. that was ohio. for what it's worth.,neil young did n't . and it 's not about kent state . for what it 's worth .
A237E0FTADYM58,B001TZLK72,1,-1,3,This was a popular song in high school,This was a popular song in high school
A3CBNR1SZJJJDE,B001UEYM5E,1,-1,2,"This album recycles some good riffs from the 80's but you can tell these guys are right out of high school by reading their lyrics - the English class PC brainwashing hasn't quite worn off. They also use the thesaurus a little too loosely: ""Wed-locked a prison Of antiquation"" Good lord who wrote that? Their music may be copped from Metallica but the lyrics are something you would expect from Natalie Merchant (for you younger people she was the singer of 10,000 Maniacs in the 80's - a favorite of unpopular drama club girls who blamed all of their personal insecurities on society, patriarchy, sexism, homophobia and Ronald Reagan).","This album recycles some good riffs from the 80 's but you can tell these guys are right out of high school by reading their lyrics - the English class PC brainwashing has n't quite worn off . They also use the thesaurus a little too loosely : "" Wed - locked a prison Of antiquation "" Good lord who wrote that ? Their music may be copped from Metallica but the lyrics are something you would expect from Natalie Merchant ( for you younger people she was the singer of 10,000 Maniacs in the 80 's - a favorite of unpopular drama club girls who blamed all of their personal insecurities on society , patriarchy , sexism , homophobia and Ronald Reagan ) ."
A1FZA9C5MVIWHE,B001UEYM5E,-1,1,5,"Trivium sounds exactly like Metallica when they were older. I believe they are sending a message to Metallica (stop sucking and start thrashing). I believe Trivium is a really cool find. if you like Trivium, I have more recommendations: Killswitch Engage, Norma Jean, Terror, It Dies Today, Zao, As I lay Dying, Underoath, Cataract, Himsa, Underoath, Lamb Of God, and Hedfirst.","Trivium sounds exactly like Metallica when they were older . I believe they are sending a message to Metallica ( stop sucking and start thrashing ) . I believe Trivium is a really cool find . if you like Trivium , I have more recommendations : Killswitch Engage , Norma Jean , Terror , It Dies Today , Zao , As I lay Dying , Underoath , Cataract , Himsa , Underoath , Lamb Of God , and Hedfirst ."
A3SV7Z1QI5FJLH,B001UNTB9W,1,-1,2,Upbeat song,Upbeat song
A3MBW331646MQF,B001UQLTAI,-1,1,5,"It's springtime and he's dying. I should be sad but his wobbly voice and naive, touching lyrics make me smile.","It 's springtime and he 's dying . I should be sad but his wobbly voice and naive , touching lyrics make me smile ."
A1PU6U585S5Q4M,B001UQPZ0I,1,-1,3,"This was a gift, so I cannot comment.","This was a gift , so I can not comment ."
A2LUGEFMUZIQ47,B001UQLTAI,-1,1,5,Can listen to it for hours on end,
A3ME0I49JPASOE,B001UQLTAI,-1,1,4,Brings back memories,
A3B0SLHC9GK7VP,B001UQLTAI,-1,1,5,A1,
A1KZPPG5KTVST8,B001UR529G,-1,1,5,"Sadly, this song always makes me think of Kurt Cobain, sitting in an empty room with a shot gun to his head. It makes me wish I could have been there to stop him.","Sadly , this song always makes me think of Kurt Cobain , sitting in an empty room with a shot gun to his head . It makes me wish I could have been there to stop him ."
A19YNFIAO5KHGP,B001UQPZJO,1,-1,3,"By the stars given I will tell you if it was the original recording. Beware, just because it says it's a master, does not mean it's the original release of the record. They recorded them several times, or even rerecord the song years later.","By the stars given I will tell you if it was the original recording . Beware , just because it says it 's a master , does not mean it 's the original release of the record . They recorded them several times , or even rerecord the song years later ."
A3J8A5L5AF5TX9,B001UVF0NU,-1,1,4,"You know how you pick at the skin of a blister? Well, this song is like that...you just want to pick it again and again.","You know how you pick at the skin of a blister ? Well , this song is like that ... you just want to pick it again and again ."
A2INSJGT4810EJ,B001UXP71S,-1,1,4,No comment,No comment
A2VGTBXWR2191N,B001V7K5I8,1,-1,3,Downloaded the MP3 at some point for someone or myself. Good Song.,Good Song .
