reviewerID,asin,predictRating,T_v,overall,reviewText,filteredReview
,B000WOUTKA,-1,1,4,had to but it,
,B000WOWPZM,1,-1,3,"The quality of the song is a little crackly. I heard this song on the radio the other night, and I wanted to have it on my MP3 player. It is a good song. If you find a version with a better quality, go for that version instead.",
,B000WOWPZM,-1,1,5,okay,
,B000WOWPZM,-1,1,4,Why would anybody dump this woman?,
,B000WQ6XL2,-1,1,4,3 dog night was a staple rock band. The very idea of anyone reviewing songs from the 70's without mentioning them is wrong in every way. Mama Told Me is the center of their rocking.,
,B000WQ6XL2,-1,1,4,I already owned Three Dog Night's Joy To The World Greatest Hits collection -- and this song was not included.  A great single purchase finish the 3DK collection.,
,B000WQ6XL2,-1,1,4,I bought this tune just as a trip down memory lane and it did send me back to the 70s. It is a somewhat cheesy tune with vocal with lots of affectation which has some comic value. The recording doesn't really hold up and needs to be remastered. But if like me you need a brief escape to the70s this might do the trick.,
,B000WQ6XK8,1,-1,3,...the best songs Three Dog Night did.  But it's okay.  Downloaded it because it brought back memories of losing my first real love...,
,B000WSWEOA,-1,1,4,I didn't realize that there were various versions of the song. This one is not the one on You Tube but is close and doesn't have the instrumental for the second half.,
,B000WSWEOA,-1,1,4,I'm a lover of this type of music. I get the MP3 downloads which hasn't been the best with Amazon's Downloading device this past 4 months which is why I knocked a star off.,
,B000WSWEOA,-1,1,4,This is a great song from my teen-age years that provides a little different version from the usual Derek and the Dominos version.  It would be nice if this version eliminated the introductive talking portion.,
,B000WSV1AS,-1,1,4,"Great song, beautiful tune, and the lyrics caused me 2 do some research. There was a radio station in the South that was allegedly either bombed or burned down for playing this song!  Janis had the insight to write this song at age 13!  I would give this song 5 stars except that the girl cops out at the end. However, the song played in 1965 or 1967, so the taboo of the times still has to be considered.  For the most part,  society's children are still ""sticking to their own kind"", and though  unspoken and a bit weaker, the social dating rules still exist.",
,B000WSV1AS,-1,1,5,"This song wouldn't be a big deal today (well, maybe I am wrong); back then it really ticked some people off.  I like the words and the sound.  I guess it was an early protest song.",
