Key,Array
B0000530HU,"[-0.01621062935074236, 0.7132676914326638, -0.01621062935074236, 1.2806397187086462, 0.7781102088356332, 1.1995865719549346, 0.632214544678952, -0.01621062935074236, -0.01621062935074236, -0.01621062935074236]"
B00006L9LC,"[0.2814271554497731, 0.5014665177844405, 0.2024999928732078, 0.2638877859883141, 0.35437498752811397, 0.3311220355905736, 0.2742519588519036, 0.28235727352727474, 0.273321840774402, 0.41842026086465345]"
B00021DJ32,"[0.0, 2.2262597641686175, 0.0, 0.540354311691412, 0.21614172467656478, 0.0, 0.0, 0.0, 0.02161417246765648, 0.0]"
B0002JHI1I,"[0.0, -0.19452755220890833, 0.0, 0.12968503480593888, 0.38905510441781666, 0.0, 0.0, 0.0, 0.0, 0.0]"
B0006O10P4,"[0.0, 1.7399408836463464, 0.0, -0.3782480181839884, 0.8645668987062592, 0.0, 1.7291337974125183, 0.0, 2.1614172467656476, 0.0]"
B0009RF9DW,"[0.21198515304816937, 0.5647949528663778, 0.20566716417300818, 0.35131343403198556, 0.5300460140529917, 0.40850785963870745, 0.21846940478846627, 0.26718442427326133, 0.3807419611610256, 0.4731841141765414]"
B000FI4S1E,"[0.21198515304816937, 0.5578119125306733, 0.20566716417300818, 0.3579639486374184, 0.5184076134934844, 0.42197515171470884, 0.21846940478846627, 0.26718442427326133, 0.38739247576645836, 0.4731841141765414]"
B000FOI48G,"[0.0, 1.134744054551965, 0.0, -0.09263216771852775, 0.22231720252446663, 0.19915916059483466, 0.0, 0.009263216771852777, 0.3705286708741111, 0.0]"
B000FTYALG,"[-0.01621062935074236, 0.7132676914326638, -0.01621062935074236, 1.2806397187086462, 0.7781102088356332, 1.1995865719549346, 0.632214544678952, -0.01621062935074236, -0.01621062935074236, -0.01621062935074236]"
B000GLRREU,"[0.0, 1.134744054551965, 0.0, -0.09263216771852775, 0.22231720252446663, 0.19915916059483466, 0.0, 0.009263216771852777, 0.3705286708741111, 0.0]"
B000LIBUBY,"[0.0, 2.1268345708173975, 0.0, 0.5187401392237555, 0.5187401392237555, 0.5187401392237555, 0.0, 0.5187401392237555, 0.0, 0.0]"
B000NKJIXM,"[0.0, 1.4784093967877032, 0.0, 0.3544724284695662, 0.3285354215083785, 1.3616928654623581, 0.21614172467656478, 0.0, 0.3415039249889723, 0.0]"
B000PKKAGO,"[0.0, -0.9564271316937992, 0.0, -1.9452755220890832, 0.17831692285816594, -1.264429089357904, -0.8915846142908297, 0.0, -0.7618995794848908, -0.6484251740296944]"
B000URXP6E,"[0.2604318184348504, 0.51145957586623, 0.20635846766488883, 0.30593533941939055, 0.423106905954581, 0.36144963502052935, 0.2559573055380373, 0.2843211669517341, 0.3233025165951568, 0.4492714305206922]"
B000V5Z4J6,"[0.0, 2.5937006961187774, 0.0, 1.1509546839027074, 1.9452755220890832, 0.6484251740296944, 1.2968503480593887, 0.0, 0.0, 0.0]"
B000VUXCGI,"[0.0, 0.0, 0.0, -1.2968503480593887, -1.2968503480593887, 1.2968503480593887, 0.0, 0.0, 0.0, 0.0]"
B000VV1YOY,"[0.0, 1.2968503480593887, 0.12968503480593888, 0.0, 1.8480117459846288, 1.2968503480593887, 0.7456889501341486, 0.0, 0.9240058729923144, 0.3242125870148472]"
B000W0C07Y,"[0.0, 2.5937006961187774, 0.0, 0.0, 2.5937006961187774, 1.2968503480593887, 0.0, 0.0, 0.0, 0.0]"
B000WR2HB6,"[0.0, 0.0, 0.0, 0.12968503480593888, 0.0, 0.0, 0.0, 0.8429527262386027, 0.0, 2.399173143909869]"
B000WYJTZG,"[0.0, 0.0, 0.0, 0.0, 0.0, 2.0101180394920526, 0.0, 0.0, 0.0, 0.0]"
B000X2FPXC,"[0.0, 0.5187401392237555, 0.0, 0.0, 0.0, -0.38905510441781666, 0.0, 0.0, 0.0, 0.0]"
B000X7ST9Y,"[0.0, 2.5937006961187774, 0.0, 0.0, 0.0, 2.5937006961187774, 0.0, 2.5937006961187774, 0.0, 0.0]"
B000YB70PS,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.9726377610445416, 0.0, 0.0, 0.0]"
B0010ZBORW,"[0.0, 0.5571163229928601, 0.006616583408466269, 0.23819700270478572, 0.45257430513909297, 0.3844234960318902, 0.0714591008114357, 0.0, 0.3625887707839515, -0.08072231758328847]"
B00112DRHY,"[0.0, 2.5937006961187774, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
B0011FYB5I,"[1.6426771075418924, 0.7997243813032897, 0.8213385537709462, 0.8213385537709462, 0.7997243813032897, 0.8213385537709462, 0.8213385537709462, 0.8213385537709462, 0.9510235885768851, 0.9510235885768851]"
B00120VWTK,"[0.0, 2.5937006961187774, 0.0, 2.5937006961187774, 0.0, 2.5937006961187774, 0.0, 0.0, 0.0, 0.0]"
B00126LYJM,"[0.0, 0.0, 0.7781102088356333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4538976218207861]"
B0012XPRO8,"[0.0, 1.8155904872831443, 0.0, 0.6160039153282096, 0.38905510441781666, 1.9452755220890832, 0.0, 0.0, 0.0, 0.0]"
B0012Y0ZG2,"[0.24758381784679698, 0.5178697698626402, 0.20025748383624048, 0.31362309312129744, 0.4299261990001123, 0.3599702616006007, 0.24932455656902439, 0.2722442830783515, 0.32080364035048553, 0.4366352961586978]"
