reviewerID,itemID,overall,fine_feature,coarse_feature
A3CIUOJXQ5VDQ2,B0000530HU,5,[-0.125 -0.125 -0.125 -0.125 -0.125 -0.125 -0.125 -0.125 -0.125 -0.125],0.4906096524176895
A3H7T87S984REU,B0000530HU,5,[0.   0.   5.   0.   0.   0.   0.   4.75 0.   0.  ],0.5062464412614103
A3J034YH7UG4KT,B0000530HU,1,[0.    0.    1.125 0.    0.    0.    0.    0.    0.    0.   ],0.4968743091191312
A2UEO5XR3598GI,B0000530HU,5,[0. 0. 0. 0. 0. 0. 0. 5. 5. 0.],0.5124837134929812
A3SFRT223XXWF7,B00006L9LC,5,[0. 0. 0. 0. 0. 5. 0. 0. 0. 0.],0.5
A24W4W9E62FZP2,B00006L9LC,2,[0.    0.    0.    0.    0.    0.125 0.    0.    0.    0.   ],0.4843884230506342
A7ID5H7FWLJHC,B00006L9LC,1,[0. 0. 0. 0. 0. 0. 0. 5. 0. 5.],0.4843701329827354
AYKOSAJTP5AVS,B00006L9LC,1,[0.    0.    0.    0.    4.375 0.    0.    2.5   0.    0.   ],0.4812705696886944
A3HIEBXDI9EQA6,B00006L9LC,5,[-0.25  0.   -0.25 -0.25  0.   -0.25  0.    0.    0.   -0.25],0.5093593824823128
AEL1DK2OJ41ZZ,B00006L9LC,1,[ 0.125  0.375 -0.5    0.125  0.25   0.125 -0.625 -0.5   -0.625  0.125],0.5031023573230872
A2UM2UI2KVHG64,B00006L9LC,1,[0. 0. 0. 0. 0. 5. 0. 5. 0. 0.],0.484351414026078
A1118RD3AJD5KH,B00006L9LC,5,[0.75  0.75  0.75  0.75  0.375 0.75  0.375 0.375 0.375 0.75 ],0.5093526769307647
AX0ZEGHH0H525,B00006L9LC,5,[ 0.  0.  0.  0.  0.  0.  0. -5.  0.  0.],0.5062536036914312
A1L0QECT7J93ZP,B00006L9LC,5,[0.    0.    0.    0.    0.    1.625 0.    0.    0.    0.   ],0.5062453495008368
A39IK7T2K2V2KA,B00006L9LC,5,[ 0. -5.  0.  0.  0.  0.  0.  0.  0.  0.],0.4937483176114455
A3L40OCWS1W7R7,B00006L9LC,5,[0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625 0.625],0.531213427579444
A1WGVH160JCIC,B00006L9LC,5,[0.    0.    2.375 0.    0.    1.375 0.    1.    0.    0.   ],0.4843865515782881
A31URN5S2Q0UJV,B00006L9LC,5,[0. 0. 0. 0. 0. 5. 0. 5. 0. 0.],0.4999947911736606
A2813CU4C11BIE,B00006L9LC,5,[0. 0. 0. 5. 0. 0. 0. 5. 0. 0.],0.4812636863310061
A1J7I5095JBHH,B00006L9LC,1,[0. 0. 0. 5. 0. 0. 0. 0. 0. 0.],0.509364320996788
A1ZM06J2A5XGHY,B00006L9LC,1,[0.5   0.5   0.375 0.5   0.25  0.5   0.125 0.625 0.25  0.5  ],0.5
A2V608ILSK1M5R,B00006L9LC,1,[ 0.   0.   0.   0.   0.   0.   0.  -1.5  0.   0. ],0.47814161851277
A2TU781PWGS09X,B00006L9LC,2,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.5561542303303472
A3IOV1NJ4IM2HC,B00006L9LC,1,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.4781392766509142
A3IJDWW3VVLF3G,B00006L9LC,1,[ 0.  0.  0.  0.  0.  0.  0. -5.  0.  0.],0.5187385057856249
A1DFI14L1LBOPJ,B00006L9LC,2,[ 0.     0.     0.     0.     0.     0.     0.    -4.125  0.     0.   ],0.5093762823438786
A23NSBJ5CGLWAA,B00006L9LC,5,[2.625 0.    0.    0.    0.    2.625 0.    0.    0.    0.   ],0.4625811622688615
A1WGC9NCI09T3D,B00006L9LC,1,[ 0.     0.    -4.875  0.     0.     0.     0.    -5.     0.     0.   ],0.4843823427433805
A28RTSY1TRCXLK,B00006L9LC,1,[0. 0. 0. 0. 0. 5. 0. 0. 0. 0.],0.5187371914373722
A28G6HAG3I755Y,B00006L9LC,5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.496879945531293
A29C6ZBT7HP13Q,B00006L9LC,5,[0.   0.   0.   2.25 0.   0.   0.   0.   0.   0.  ],0.4687934933578177
A1CEDYAX0NG4BU,B00006L9LC,3,[ 0. -5.  0.  0.  0.  0.  0.  0.  0.  0.],0.487504535059267
