Key,Array
B0000530HU,"[-0.06484251740296944, 2.853070765730655, -0.06484251740296944, 5.122558874834585, 3.112440835342533, 4.798346287819738, 2.528858178715808, -0.06484251740296944, -0.06484251740296944, -0.06484251740296944]"
B00006L9LC,"[140.12468010781697, 250.16243214065636, 101.41369721824422, 131.56546781062497, 175.72322216204728, 164.57030916873651, 135.84507395922103, 140.77310528184665, 135.90991647662403, 209.76554379860627]"
B00021DJ32,"[0.0, 6.678779292505852, 0.0, 1.621062935074236, 0.6484251740296944, 0.0, 0.0, 0.0, 0.06484251740296944, 0.0]"
B0002JHI1I,"[0.0, -0.38905510441781666, 0.0, 0.25937006961187775, 0.7781102088356333, 0.0, 0.0, 0.0, 0.0, 0.0]"
B0006O10P4,"[0.0, 12.968503480593887, 0.0, 0.0, 7.781102088356333, 0.0, 10.37480278447511, 0.0, 12.968503480593887, 0.0]"
B0009RF9DW,"[89.15846142908296, 236.1564483816149, 82.47968213657713, 146.47924681330795, 211.5162917684865, 166.90463979524336, 89.67720156830674, 107.70342140633224, 153.93613631464945, 190.05341850810356]"
B000FI4S1E,"[89.15846142908296, 234.34085789433175, 82.47968213657713, 149.07294750942677, 206.32889037624892, 172.1568837048839, 89.67720156830674, 107.70342140633224, 156.52983701076823, 190.05341850810356]"
B000FOI48G,"[0.0, 15.88641676372751, 0.0, -1.2968503480593885, 3.112440835342533, 2.7882282483276852, 0.0, 0.12968503480593888, 5.187401392237556, 0.0]"
B000FTYALG,"[-0.06484251740296944, 2.853070765730655, -0.06484251740296944, 5.122558874834585, 3.112440835342533, 4.798346287819738, 2.528858178715808, -0.06484251740296944, -0.06484251740296944, -0.06484251740296944]"
B000GLRREU,"[0.0, 15.88641676372751, 0.0, -1.2968503480593885, 3.112440835342533, 2.7882282483276852, 0.0, 0.12968503480593888, 5.187401392237556, 0.0]"
B000LIBUBY,"[0.0, 10.634172854086987, 0.0, 2.5937006961187774, 2.5937006961187774, 2.5937006961187774, 0.0, 2.5937006961187774, 0.0, 0.0]"
B000NKJIXM,"[0.0, 25.28858178715808, 0.0, 7.910787123162271, 4.928031322625677, 20.944133121159126, 3.2421258701484716, 0.0, 7.716259570953362, 0.0]"
B000PKKAGO,"[0.0, -3.825708526775197, 0.0, -7.781102088356333, 0.7132676914326638, -5.057716357431616, -3.5663384571633188, 0.0, -3.0475983179395634, -2.5937006961187774]"
B000URXP6E,"[228.69955888027334, 447.348527563087, 180.91062355428483, 266.37306149139874, 371.2882546494033, 317.0150675831179, 222.863732314006, 248.2819991359702, 280.768100354858, 393.6589231534283]"
B000V5Z4J6,"[0.0, 7.781102088356333, 0.0, 2.5937006961187774, 7.781102088356333, 2.5937006961187774, 5.187401392237555, 0.0, 0.0, 0.0]"
B000VUXCGI,"[0.0, 0.0, 0.0, -5.187401392237555, -5.187401392237555, 5.187401392237555, 0.0, 0.0, 0.0, 0.0]"
