Key,Array
A10JB7YPWZGRF4,"[0.0, 0.0, 1.9248592638751267, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A10ZJZNO4DAVB,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1118RD3AJD5KH,"[0.3725534059113148, 0.3725534059113148, 0.1862767029556574, 0.1862767029556574, 0.1862767029556574, 0.1862767029556574, 0.3725534059113148, 0.1862767029556574, 0.3725534059113148, 0.1862767029556574]"
A115LE3GBAO8I6,"[0.0, 0.0, 2.483689372742099, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A11AZPF8R6A1F8,"[0.0, 2.483689372742099, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A12HTKLZWLEAF5,"[0.0, 0.0, 1.986951498193679, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A14R11HV2H7AVW,"[2.483689372742099, 2.483689372742099, 2.483689372742099, 1.8627670295565741, 2.483689372742099, 2.483689372742099, 2.483689372742099, 2.483689372742099, 2.483689372742099, 2.483689372742099]"
A14YENXHLKG9WL,"[0.0, 0.0, 2.483689372742099, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A15IKO3Q6RSA1V,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A15T9G38F589KM,"[0.0, 1.179752452052497, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A173YMJ9XFVRSY,"[0.0, 0.0, 0.3725534059113148, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1AFSSJ58HYER7,"[0.0, 2.483689372742099, 0.0, 0.0, 0.0, 0.0, 0.0, 2.483689372742099, 0.0, 0.0]"
A1AG4CEH4EYXIT,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3039369206896019, 0.0, 0.0]"
A1BAZK7LSPBPEJ,"[0.0, 0.0, 2.483689372742099, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1C3SRDH9HVEI2,"[0.0, 0.0, 1.986951498193679, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1CEDYAX0NG4BU,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.483689372742099]"
A1CURM7FGX5UJP,"[0.0, 0.0, 0.0, 0.0, 0.7451068118226296, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1DFI14L1LBOPJ,"[0.0, 0.0, -2.483689372742099, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1EVV74UQYVKRY,"[0.0, 0.0, 2.483689372742099, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1J7I5095JBHH,"[0.0, 0.0, 2.483689372742099, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1JJBKKS6FCOQJ,"[0.0, 2.0490437325122315, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1L0QECT7J93ZP,"[0.0, 0.9934757490968396, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1MAI0TUIM3R2X,"[0.0, 0.0, 2.483689372742099, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1MZIY3MPR5LRS,"[1.3660291550081545, 1.3660291550081545, 1.3660291550081545, 1.3660291550081545, 1.3660291550081545, 1.3660291550081545, 0.6830145775040772, 1.3660291550081545, 1.3660291550081545, 1.3660291550081545]"
A1NO7CJ510NQWC,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.483689372742099]"
A1T7DRMZ9A9KEA,"[0.0, 0.0, -2.483689372742099, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1TEIICSK5IK0V,"[0.0, 0.0, 2.4215971384235466, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1U4MBURSADCDU,"[1.3660291550081545, 1.3660291550081545, 1.3660291550081545, 1.3660291550081545, 1.3660291550081545, 0.6830145775040772, 0.6830145775040772, 0.6830145775040772, 1.3660291550081545, 1.3660291550081545]"
A1VN560NNZQIR0,"[0.0, 0.0, 0.0, 2.483689372742099, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1WGC9NCI09T3D,"[0.0, 0.0, -2.4215971384235466, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1WGVH160JCIC,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5523058579638118, 0.0, 0.0, 0.0]"
A1WWZ1NKXLFYNG,"[0.0, 0.0, 1.2418446863710495, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1YVFD3TLX6E22,"[0.0, 0.0, 2.483689372742099, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1ZM06J2A5XGHY,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3725534059113148]"
A1ZN7IP615TNQO,"[0.0, 0.0, 0.0, 0.0, 0.9934757490968396, 0.0, 0.0, 0.0, 0.0, 0.0]"
A20Y9PNINSXAE2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.483689372742099]"
A22V1MD93T2FW9,"[0.0, 0.0, 2.483689372742099, 2.483689372742099, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A22X7GUEMMORP8,"[0.0, 0.0, 1.6764903266009168, 0.0, 1.9248592638751267, 0.0, 0.0, 0.0, 0.0, 1.9248592638751267]"
A23NSBJ5CGLWAA,"[0.0, 0.0, 0.0, 2.483689372742099, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A24HQ2N7332W7W,"[0.0, 0.0, 2.483689372742099, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A24W4W9E62FZP2,"[0.0, 0.0, 2.483689372742099, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A251F9Y0GSZALP,"[0.0, 0.0, 0.0, 0.0, 2.483689372742099, 0.0, 0.0, 0.0, 0.0, 0.0]"
A27PPA3O7PX0OH,"[0.0, 0.0, 1.1176602177339445, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A2813CU4C11BIE,"[0.0, 0.0, 2.483689372742099, 0.0, 2.483689372742099, 0.0, 0.0, 0.0, 0.0, 0.0]"
A28G6HAG3I755Y,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A28MZ2SOOHMOZW,"[0.0, 0.0, -2.483689372742099, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.483689372742099]"
A28RTSY1TRCXLK,"[0.0, 0.0, 2.483689372742099, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A29C6ZBT7HP13Q,"[0.0, 0.0, 1.2418446863710495, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A29GCQQLNLUJGG,"[0.0, 0.0, 0.0, 0.0, 0.4967378745484198, 0.0, 0.0, 0.0, 0.0, 0.0]"
A2ABCUIYJETG6Q,"[2.483689372742099, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A2CY3ZL67BZKEU,"[1.179752452052497, 0.0, 0.7451068118226296, 0.0, 0.3104611715927624, 0.0, 0.4346456402298673, 0.7451068118226296, 1.179752452052497, 1.179752452052497]"
A2CZ98V784SRJ0,"[0.0, 2.483689372742099, 2.483689372742099, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A2D9MTWHD2BFUG,"[1.986951498193679, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A2G7EEQJKKOU8R,"[0.0, 0.0, -0.1862767029556574, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A2G90R2ZU6KU5D,"[0.0, 0.0, -0.5588301088669723, 0.0, -1.4902136236452592, 0.0, 0.0, 0.0, 0.0, 0.0]"
A2GBIFL43U1LKJ,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A2IGYO5UYS44RW,"[0.0, 0.0, 2.483689372742099, 2.483689372742099, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A2JPQVFMKT94M2,"[0.0, 0.0, 2.483689372742099, 0.0, 2.483689372742099, 0.0, 0.0, 0.0, 0.0, 0.0]"
A2KJR83EUJJNAX,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.483689372742099]"
A2M1OW141Y5WSN,"[0.0, 0.0, 1.1176602177339445, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.483689372742099]"
A2N0CVZO3GPQ45,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A2N4OUX2ORC859,"[0.8692912804597346, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A2RWJPXMBFGCF0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.483689372742099, 0.0, 0.0]"
A2TRMX7KR6IIVA,"[2.483689372742099, 2.483689372742099, 2.483689372742099, 2.483689372742099, 2.483689372742099, 2.483689372742099, 2.483689372742099, 2.483689372742099, 2.483689372742099, 2.483689372742099]"
