Key,Array
A105A034ZG9EHO,"tensor([ 0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,
         0.0000,  0.0000, -0.0001, -0.0005, -0.0026, -0.0049, -0.0055, -0.0024,
        -0.0089, -0.0026, -0.0004, -0.0015])"
A10M2MLE2R0L6K,"tensor([ 0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,
         0.0000,  0.0000, -0.0020, -0.0068, -0.0025, -0.0061, -0.0010, -0.0005,
        -0.0052, -0.0028, -0.0043, -0.0003])"
A10P0NAKKRYKTZ,"tensor([0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00,
        0.0000e+00, 0.0000e+00, 0.0000e+00, 0.0000e+00, 3.0443e-04, 1.0307e-04,
        2.1506e-04, 2.3528e-04, 5.6705e-05, 4.3695e-04, 3.7587e-04, 1.1387e-05,
        1.7427e-04, 4.7434e-05])"
A10ZJZNO4DAVB,"tensor([ 0.0000e+00,  0.0000e+00,  0.0000e+00,  0.0000e+00,  0.0000e+00,
         0.0000e+00,  0.0000e+00,  0.0000e+00,  0.0000e+00,  0.0000e+00,
        -1.8084e-03, -1.1327e-03, -1.5233e-03, -4.2367e-04, -9.3892e-05,
        -3.0593e-04, -1.2889e-03, -8.8381e-04, -1.5635e-03, -1.9936e-03])"
A1118RD3AJD5KH,"tensor([ 0.0000e+00,  0.0000e+00,  0.0000e+00,  0.0000e+00,  0.0000e+00,
         0.0000e+00,  0.0000e+00,  0.0000e+00,  0.0000e+00,  0.0000e+00,
        -6.2341e-03, -3.2511e-03, -4.4029e-03, -6.1871e-03, -6.5833e-05,
        -8.0561e-03, -3.1567e-03, -2.0273e-03, -6.7625e-04, -7.1375e-03])"
A115LE3GBAO8I6,"tensor([0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000,
        0.0000, 0.0010, 0.0049, 0.0069, 0.0079, 0.0002, 0.0023, 0.0001, 0.0079,
        0.0003, 0.0063])"
A11AZPF8R6A1F8,"tensor([ 0.0000e+00,  0.0000e+00,  0.0000e+00,  0.0000e+00,  0.0000e+00,
         0.0000e+00,  0.0000e+00,  0.0000e+00,  0.0000e+00,  0.0000e+00,
        -2.0719e-03, -7.2463e-04, -2.6607e-03, -4.8477e-04, -2.6046e-03,
        -1.3626e-05, -1.9905e-03, -5.0639e-06, -1.8782e-03, -2.3380e-03])"
A11L1TI883AOSV,"tensor([ 0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,
         0.0000,  0.0000, -0.0004, -0.0003, -0.0015, -0.0021, -0.0040, -0.0019,
        -0.0024, -0.0003, -0.0074, -0.0024])"
A11QGZ39A7ZF0X,"tensor([ 0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,
         0.0000,  0.0000, -0.0019, -0.0029, -0.0057, -0.0053, -0.0023, -0.0002,
        -0.0065, -0.0070, -0.0051, -0.0049])"
A1210QJT54O8T0,"tensor([ 0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,  0.0000,
         0.0000,  0.0000, -0.0002, -0.0004, -0.0007, -0.0015, -0.0003, -0.0003,
        -0.0001, -0.0001, -0.0003, -0.0006])"
