Key,Array
B0000530HU,"[-0.060549417218179066, 2.664174357599879, -0.060549417218179066, -0.060549417218179066, 4.7834039602361464, 2.3614272715089837, 2.9669214436907745, 2.3614272715089837, -0.060549417218179066, -0.12109883443635813, 0.11589264084352469, 0.25164329438386857, 0.353752482080738, 0.12042748508038133, 0.4106985676600614, 0.17785471523087834, 0.38551268752871126, 0.5891753564365079, 0.3965725727811064, 0.510457413601392]"
B00006L9LC,"[61.5787573108881, 126.30608431712143, 95.84972745637747, 227.908006409226, 155.3698045818474, 74.5363325955784, 168.14573161488323, 122.49147103237615, 255.1552441574066, 94.45709086035932, 1.3170551786331537, 1.6461609762492488, 1.4530398733208794, 1.5572836962486654, 1.396121307953168, 1.3325919593068214, 1.4776387992078948, 1.4568809894397277, 1.3517902567584554, 1.505719175285309]"
B00021DJ32,"[0.0, 0.24219766887271627, 0.0, 3.572415615872565, 1.7559330993271929, -0.24219766887271627, 1.5137354304544766, 1.9981307681999092, 0.0, 2.0586801854180883, 0.6106981308851066, 0.5143986528106849, 0.06504624892322602, 0.22109146677707625, 0.26875642785630083, 0.46273183612174906, 0.5233140528981352, 0.3505037273426218, 0.332227656615712, 0.08465752205873091]"
B0002JHI1I,"[0.48439533774543253, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7265930066181487, -0.12109883443635813, 0.0, 0.0, 0.021800127219897325, 0.2960088667496101, 0.6044346434150342, 0.560536132529484, 0.14277190540512408, 0.38505643354293, 0.031409442816136494, 0.17236414705403266, 0.09788015315350575, 0.5543807104540832]"
B0006O10P4,"[0.0, 0.0, 0.0, -2.3614272715089837, 2.4219766887271628, 0.0, 9.687906754908651, 9.990653840999547, 0.0, 0.0, 0.4367735406261329, 0.15050539186365536, 0.07440410440122193, 0.5890328291638605, 0.16620192519380095, 0.27125218184404204, 0.6653016161275848, 0.21479755643412748, 0.30929325009136005, 0.35119810347101676]"
B0009RF9DW,"[70.35842280752404, 136.72058407864824, 102.99455868812252, 166.20815026390153, 154.46156332357464, 70.35842280752405, 202.5983500120272, 124.3685029661397, 225.1227332171899, 89.49203864846858, 1.3379233193469515, 1.4363987146407093, 1.649504029076861, 1.3984366680760347, 1.3261841048267995, 1.2904825438197307, 1.4047435586571695, 1.4554147576009218, 1.8078483631799498, 1.3800931158222165]"
B000FI4S1E,"[70.35842280752404, 133.93531088661197, 102.99455868812252, 166.20815026390153, 156.03584817124732, 72.29600415850578, 201.32681225044544, 126.79047965486686, 225.1227332171899, 89.00764331072315, 1.3064387840528342, 1.352041850919171, 1.554298949974795, 1.3718753013093954, 1.563923641625536, 1.498362481976686, 1.3396365960918857, 1.6592310333827218, 1.4780556145957529, 1.4252067683422085]"
B000FOI48G,"[0.0, 15.01625547010841, 0.0, 9.506258503254115, 4.8439533774543255, -2.4219766887271628, 2.4219766887271628, 12.35208111250853, 0.0, -1.816482516545372, 0.27975794171525403, 0.3697721668394897, 0.5784175365536716, 0.1377527893087026, 0.2409377233845353, 0.749073802381096, 0.6495546424211047, 0.24045893378457134, 0.35615841517929475, 0.2960901279739097]"
B000FTYALG,"[-0.060549417218179066, 2.664174357599879, -0.060549417218179066, -0.060549417218179066, 4.7834039602361464, 2.3614272715089837, 2.9669214436907745, 2.3614272715089837, -0.060549417218179066, -0.12109883443635813, 0.035778390580906295, 0.27489793241431043, 0.2726942549808857, 0.18011885950734233, 0.3129570834606151, 0.06707564910578802, 0.6111821639253796, 0.20709627219304685, 0.45640880075815704, 0.5269560206403048]"
B000GLRREU,"[0.0, 15.01625547010841, 0.0, 9.506258503254115, 4.8439533774543255, -2.4219766887271628, 2.4219766887271628, 12.35208111250853, 0.0, -1.816482516545372, 0.18219229734399026, 0.4536898499846073, 0.17384265668474305, 0.20786380500993742, 0.22197638221774793, 0.18841352000298617, 0.506741395184527, 0.6805325047670054, 0.5811599004295206, 0.559501302355224]"
