Key,Array
A105A034ZG9EHO,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1811373337671036, 0.5899694699610127, 0.5366983492006926, 0.3103475416984318, 0.46175459388573054, 0.40210590037726157, 0.39276759182778304, 0.09117672747542636, 0.38588921492038586, 0.2800974389831501]"
A10JB7YPWZGRF4,"[0.0, 0.0, 0.0, 8.47691841054507, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.507687059982384, 0.19341294383371524, 0.22545287897853566, 0.46444238218989103, 0.08421619701983385, 0.08655335154280086, 0.35821136922667, 0.4531184639545687, 0.606241533127607, 0.10731071629053787]"
A10M2MLE2R0L6K,"[0.0, 0.0, 0.0, 1.3320871787999395, 2.3008778542908046, 0.0, 2.240328437072625, 1.8164825165453722, 1.5742848476726556, 0.0, 0.06879938803291377, 0.12751124513601372, 0.3449633271003257, 0.43767547056889355, 0.20892212336782903, 0.1453874262175498, 0.45520405855506074, 0.21589790690388314, 0.6073251645261901, 0.1230190720975828]"
A10P0NAKKRYKTZ,"[0.0, 0.0, 0.0, 1.2109883443635814, 0.0, 0.0, 0.24219766887271627, 0.0, 0.0, 0.0, 0.3879201575166463, 0.26457326385284174, 0.4504429014425026, 0.4403004694765094, 0.5909499051638943, 0.29309095943104524, 0.12446506452777724, 0.1013445894653592, 0.2673199622610746, 0.1731466095558974]"
A10ZJZNO4DAVB,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15031685599000466, 0.5678409792781595, 0.2855217963177607, 0.09613064442907769, 0.14968310031962964, 0.10871816227125426, 0.535897301475324, 0.4186032901082341, 0.09226509319608876, 0.5996342604296223]"
A1118RD3AJD5KH,"[1.0898895099272232, 1.0898895099272232, 1.0898895099272232, 2.1797790198544464, 2.1797790198544464, 2.1797790198544464, 1.0898895099272232, 2.1797790198544464, 1.0898895099272232, 2.1797790198544464, 0.5395119090222608, 0.14805323331481113, 0.20713895168162327, 0.31658784988067645, 0.3495735339445929, 0.36248611594224245, 0.18598040678617464, 0.30524753199309346, 0.42898157511538226, 0.4078918835309651]"
A115LE3GBAO8I6,"[0.0, 0.0, 0.0, 12.109883443635814, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5248811681228557, 0.15362611592903505, 0.3808298754324298, 0.3460404664923418, 0.26048041856788595, 0.3795783983670624, 0.17528258763195842, 0.6028209861551432, 0.09870155967131261, 0.06086979611187173]"
A11AZPF8R6A1F8,"[0.0, 0.0, 0.0, 0.0, 12.109883443635814, 0.0, 12.109883443635814, 0.0, 0.0, 0.0, 0.5495224067927941, 0.3099868202240243, 0.24048648575264958, 0.13895097028072323, 0.3264636885851394, 0.3502255698991607, 0.5391377509740766, 0.4230723501640484, 0.5510060761044779, 0.4026305285459189]"
A11L1TI883AOSV,"[0.0, 0.0, 0.0, 6.054941721817907, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1428877012314907, 0.44730336863536824, 0.23222115434589077, 0.40841541447888224, 0.31121075166099527, 0.14699257877444988, 0.1075845692827636, 0.30353096610958236, 0.6172794928672695, 0.48512103146157237]"
A11QGZ39A7ZF0X,"[0.0, 2.724723774818058, 1.816482516545372, 1.998130768199909, 4.238459205272535, 5.449447549636116, 2.4219766887271628, 2.966921443690774, 10.111752675435904, 0.0, 0.40255842162951266, 0.2155535231655092, 0.5207763440927958, 0.6268989100788156, 0.3194452420709846, 0.34444391369698546, 0.5617928795985965, 0.1033837683490667, 0.4413904157814303, 0.2389928420820056]"
A1210QJT54O8T0,"[0.0, -1.1504389271454023, 0.0, 1.5742848476726559, 11.625488105890382, 0.0, -0.36329650330907437, 1.2109883443635814, 2.4219766887271628, 0.0, 0.508395314767595, 0.1581661604931202, 0.5877765238835843, 0.20180825480648393, 0.12502697442704966, 0.41002695611496454, 0.4098004231262839, 0.47064934134860126, 0.5407453796475077, 0.49191796852942177]"
A121C9UWQFW5W6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04750678019987368, 0.4620641440956895, 0.5613173033990251, 0.6250839256552649, 0.4712670786122046, 0.35877336992056724, 0.3801972205512642, 0.3296807721878034, 0.0954606896968898, 0.07662317032501062]"
A125PSVY71Q7KZ,"[0.0, 12.109883443635814, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.109883443635814, 0.0, 0.5961941216980908, 0.5384654345447222, 0.5086679590483733, 0.07054175700142311, 0.1653902915177896, 0.1671900045259742, 0.42297937586261347, 0.32895276202614177, 0.5775495447338866, 0.21413858120221105]"
