Key,Array
0,"['A105A034ZG9EHO', 'B0009RF9DW', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.])]"
1,"['A105A034ZG9EHO', 'B000FI4S1E', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.])]"
2,"['A105A034ZG9EHO', 'B000URXP6E', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.])]"
3,"['A105A034ZG9EHO', 'B0012Y0ZG2', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.])]"
4,"['A105A034ZG9EHO', 'B0012Y0ZG2', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.])]"
5,"['A10JB7YPWZGRF4', 'B0009RF9DW', array([0.       , 0.       , 0.       , 0.       , 0.       , 0.       ,
       2.1651423, 0.       , 0.       , 0.       ])]"
6,"['A10JB7YPWZGRF4', 'B000FI4S1E', array([0.       , 0.       , 0.       , 0.       , 0.       , 0.       ,
       2.1651423, 0.       , 0.       , 0.       ])]"
7,"['A10JB7YPWZGRF4', 'B000URXP6E', array([0.       , 0.       , 0.       , 0.       , 0.       , 0.       ,
       2.1651423, 0.       , 0.       , 0.       ])]"
8,"['A10JB7YPWZGRF4', 'B0012Y0ZG2', array([0.       , 0.       , 0.       , 0.       , 0.       , 0.       ,
       2.1651423, 0.       , 0.       , 0.       ])]"
9,"['A10JB7YPWZGRF4', 'B0012Y0ZG2', array([0.       , 0.       , 0.       , 0.       , 0.       , 0.       ,
       2.1651423, 0.       , 0.       , 0.       ])]"
10,"['A10M2MLE2R0L6K', 'B000VV1YOY', array([0.        , 0.        , 1.20993246, 0.        , 0.        ,
       0.        , 0.        , 0.        , 0.        , 0.        ])]"
11,"['A10M2MLE2R0L6K', 'B000VV1YOY', array([0.        , 0.        , 1.20993246, 0.        , 0.        ,
       0.        , 0.        , 0.        , 0.        , 0.        ])]"
12,"['A10M2MLE2R0L6K', 'B001LNODUS', array([1.40097443, 0.        , 0.        , 0.        , 0.        ,
       0.        , 1.5920164 , 0.        , 0.        , 0.        ])]"
13,"['A10M2MLE2R0L6K', 'B00W259T7G', array([-1.14625181,  0.        ,  0.        ,  0.        ,  0.        ,
        0.        , -1.71937771,  0.        , -0.76416787,  0.        ])]"
14,"['A10M2MLE2R0L6K', 'B019FWRG3C', array([1.40097443, 0.        , 0.        , 0.        , 0.        ,
       0.        , 1.5920164 , 0.        , 0.        , 0.        ])]"
15,"['A10P0NAKKRYKTZ', 'B0009RF9DW', array([0.        , 0.        , 0.        , 0.        , 0.        ,
       0.        , 0.        , 0.        , 0.25472262, 0.        ])]"
16,"['A10P0NAKKRYKTZ', 'B000FI4S1E', array([0.        , 0.        , 0.        , 0.        , 0.        ,
       0.        , 0.        , 0.        , 0.25472262, 0.        ])]"
17,"['A10P0NAKKRYKTZ', 'B000URXP6E', array([0.        , 0.        , 0.        , 0.        , 0.        ,
       0.        , 0.        , 0.        , 0.25472262, 0.        ])]"
18,"['A10P0NAKKRYKTZ', 'B0012Y0ZG2', array([0.        , 0.        , 0.        , 0.        , 0.        ,
       0.        , 0.        , 0.        , 0.25472262, 0.        ])]"
19,"['A10P0NAKKRYKTZ', 'B0012Y0ZG2', array([0.        , 0.        , 0.        , 0.        , 0.        ,
       0.        , 0.        , 0.        , 0.25472262, 0.        ])]"
20,"['A10ZJZNO4DAVB', 'B00006L9LC', array([0., 0., 0., 0., 0., 0., 0., 0., 0., 0.])]"
