Key,Array
B0000530HU,"[5.349175094089929, -0.12736131176404594, -0.06368065588202297, -0.06368065588202297, -0.06368065588202297, -0.06368065588202297, 2.483545579398896, -0.06368065588202297, 2.483545579398896, -0.06368065588202297]"
B00006L9LC,"[223.07333755472658, 202.12240176954109, 105.20044351710202, 214.79485229006363, 130.29062193461903, 102.33481400241088, 118.25497797291662, 158.56483314623728, 151.05051575215847, 133.2836127610741]"
B00021DJ32,"[1.4646550852865283, 0.0, 0.0, 2.547226235280919, 0.0, 0.0, 0.0, 0.0, 6.368065588202297, 0.0]"
B0002JHI1I,"[-1.0188904941123675, 0.0, 0.0, 0.0, -2.292503611752827, 0.0, -0.12736131176404594, 0.0, 0.0, 0.0]"
B0006O10P4,"[10.50730822053379, 0.0, 0.0, -2.547226235280919, 2.547226235280919, 0.0, 0.0, -2.483545579398896, 12.736131176404594, 0.0]"
B0009RF9DW,"[247.01726416636748, 162.5130338109227, 101.31592350829848, 160.475252822698, 145.51029869042245, 90.93597659952876, 125.64193405523127, 159.96580757564172, 144.36404688454607, 137.23181342575944]"
B000FI4S1E,"[244.53371858696858, 159.9658075756418, 105.13676286121986, 160.475252822698, 145.51029869042245, 90.55389266423664, 123.54047241112451, 159.96580757564172, 146.911273119827, 135.83083899635494]"
B000FOI48G,"[14.519189541101237, -0.1910419676460689, 0.7004872147022527, 2.547226235280919, 0.0, 0.0, -0.3820839352921378, 0.0, 2.547226235280919, 0.0]"
B000FTYALG,"[5.349175094089929, -0.12736131176404594, -0.06368065588202297, -0.06368065588202297, -0.06368065588202297, -0.06368065588202297, 2.483545579398896, -0.06368065588202297, 2.483545579398896, -0.06368065588202297]"
B000GLRREU,"[14.519189541101237, -0.1910419676460689, 0.7004872147022527, 2.547226235280919, 0.0, 0.0, -0.3820839352921378, 0.0, 2.547226235280919, 0.0]"
B000LIBUBY,"[9.806821005831537, 0.0, 0.0, 4.903410502915769, 2.547226235280919, 0.0, 5.094452470561838, 0.0, 2.483545579398896, 0.0]"
B000NKJIXM,"[22.097187591061974, 0.0, 4.457645911741608, 2.35618426763485, 0.0, 0.0, -0.1910419676460689, 0.0, 1.0188904941123675, 0.5731259029382068]"
B000PKKAGO,"[-5.540217061735999, 1.5283357411685512, 0.0, -0.4457645911741608, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
B000URXP6E,"[464.29566203582937, 347.5053391481993, 204.54226669305794, 379.4730284009751, 273.4447363574068, 189.51363190490054, 238.8024595575865, 311.33472660721037, 296.178730507289, 260.3265212457102]"
B000V5Z4J6,"[9.042653135247262, 0.0, 0.0, 5.094452470561838, 0.0, 0.0, 2.4198649235168728, 0.0, 0.0, 0.0]"
B000VUXCGI,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.8397298470337455, 0.0, 0.0, -5.094452470561838]"
B000VV1YOY,"[15.283357411685513, 0.0, 2.4198649235168728, 0.0, 5.094452470561838, 0.0, 0.0, 0.0, 0.0, 0.0]"
B000W0C07Y,"[2.547226235280919, 2.547226235280919, 5.094452470561838, 0.0, 5.094452470561838, 0.0, 0.0, 0.0, 0.0, 0.0]"
B000WR2HB6,"[1.7830583646966431, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6556970529325972, 0.0, 0.0, 0.0]"
B000WYJTZG,"[4.07556197644947, 0.0, 0.0, 4.7123685352697, 0.0, 0.0, 0.0, 0.0, 2.9293101705730566, 0.0]"
B000X2FPXC,"[0.5094452470561838, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
B000X7ST9Y,"[5.094452470561838, 0.0, 5.094452470561838, 5.094452470561838, 5.094452470561838, 0.0, 0.0, 0.0, 0.0, 0.0]"
B000YB70PS,"[1.0188904941123675, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
B0010ZBORW,"[40.24617451743851, 1.0188904941123678, 1.910419676460689, 14.773912164629328, 0.3820839352921378, -8.278485264662987, 14.519189541101237, 10.188904941123676, 19.104196764606893, 3.693478041157333]"
B00112DRHY,"[5.094452470561838, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
B0011FYB5I,"[2.35618426763485, 2.4198649235168728, 2.4198649235168728, 2.801948858809011, 2.4198649235168728, 0.0, 2.801948858809011, 2.4198649235168728, 2.801948858809011, 2.801948858809011]"
B00120VWTK,"[5.094452470561838, 0.0, 0.0, 5.094452470561838, 0.0, 0.0, 5.094452470561838, 0.0, 0.0, 0.0]"
