Key,Array
A105A034ZG9EHO,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A10JB7YPWZGRF4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 10.825711499943903, 0.0, 0.0, 0.0]"
A10M2MLE2R0L6K,"[1.6556970529325974, 0.0, 2.4198649235168728, 0.0, 0.0, 0.0, 1.4646550852865283, 0.0, -0.7641678705842756, 0.0]"
A10P0NAKKRYKTZ,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.2736131176404595, 0.0]"
A10ZJZNO4DAVB,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A1118RD3AJD5KH,"[2.2925036117528266, 1.1462518058764133, 0.0, 2.2925036117528266, 1.1462518058764133, 1.1462518058764133, 2.2925036117528266, 1.1462518058764133, 2.2925036117528266, 2.2925036117528266]"
A115LE3GBAO8I6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.736131176404594, 12.736131176404594, 0.0]"
A11AZPF8R6A1F8,"[12.736131176404594, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A11L1TI883AOSV,"[10.50730822053379, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.139242632331493, 0.0]"
A11QGZ39A7ZF0X,"[4.011881320567447, 2.547226235280919, 1.6556970529325974, 4.2666039440955394, 0.0, 2.547226235280919, 2.228822955870804, 18.531070861668685, 0.9552098382303446, 0.0]"
A1210QJT54O8T0,"[5.094452470561838, 0.0, 0.0, 6.240704276438251, 0.0, 0.0, 0.0, 0.0, 10.316266252887722, 0.0]"
A121C9UWQFW5W6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A125PSVY71Q7KZ,"[11.78092133817425, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 12.736131176404594, 0.0, 0.0]"
A125TMC44CJBKK,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.870501661713561, 0.0, 0.0]"
A12B5Y225ADJWE,"[6.368065588202297, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.865629514691034, 0.0, 0.0]"
A12BLGAAZBUU96,"[0.0, 0.0, 0.0, 0.0, 3.8208393529213778, 7.6416787058427555, 0.0, 0.0, 0.0, 0.0]"
A12HTKLZWLEAF5,"[10.188904941123676, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A12HWYJ6G58FGV,"[5.731259029382068, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A12I397MEWA1VB,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A12X146LZM6KM0,"[0.0, 0.0, 0.7641678705842757, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A12X3J7IITW1J6,"[0.0, 0.0, 0.0, 0.0, 12.736131176404594, 0.0, 0.0, 0.0, 0.0, 0.0]"
A132O42MLTHYSX,"[0.0, 12.736131176404594, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A13B2J5IBGS8Y2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.731259029382068, 0.0, 0.0]"
A13PKMKQ0177SH,"[0.0, 0.0, -4.776049191151722, 0.0, 0.0, 0.0, -6.686468867612412, 0.0, 0.0, 0.0]"
