reviewerID,asin,predictRating,T_v,overall,reviewText,filteredReviewText
AMXH6AEME9AIN,B00136NEAI,1,1,5,I listen to this song for my exercise. Love it.,
AST761ZN9MH3R,B00136NEAI,1,1,5,A song that you can not forget and brings back many memories.,
AVKHYC2D7MD56,B00136NEAI,1,1,5,"One of the best songs from the glam band Europe, another song they wore out playing on the radio. I was in 7th grade when this hit came out. I remember some of my friends and I before school would start walk the halls singing this song. I mean you do crazy things when your 12/13 years old. The reason why I like this song , I guess it's because its not like other glam band songs, this one sounds different. I like the lyrics and the beat isn't the same copycat beat you hear from some of the other glam bands. I recommend this hit to any glam band fan, 80's music fan or anybody looking for that old school sound.",
A2DCS39GFBJV24,B00136NEAI,1,1,5,"I love the music of the '80s... but somehow I was blissfully unaware of this song's existence until I stumbled upon it in a list from Cracked -- ""The Most Terrifyingly Epic Songs of the '80s.""  I had heard most of the songs on the list, but had somehow overlooked this one entirely.  Cracked has a sketchy record when it comes to recommendations, in my opinion, but given that I loved most of the other songs on this particular list (""Eye of the Tiger,"" ""Don't Stop Believing,"" ""Holding Out for a Hero,"" ""Love is a Battlefield,"" etc.), I decided I had to give this one a listen.

I'll just say... if you're an unabashed fan of cheesy '80s poodle-hair rock, you will love this song.  :D

There's nothing subtle whatsoever about this song.  From the triumphant and soaring synthesizer opening to the epic guitar and drum riffs, this song's instrumentation is the epitome of goofy '80s rock.  The lyrics, while simple, are also rather nonsensical, seeming to hint toward a group of astronauts leaving Earth but otherwise defying easy explanation.  And the lead singer's voice is nothing to write home about, though at least he actually tries to carry the tune and doesn't just yell into the microphone.

And yet somehow, this all WORKS.  It's a goofy song, yes, but it's the kind of goofy that leaves a huge smile on your face.  It's a song that's completely over-the-top but in the best possible way, and you can't help but want to bang your head and sing along when it comes on.  I haven't listened to anything else by Europe -- and from what I understand this is their only real hit -- but they sure hit a home run with this number.

This song has found plenty of new fans thanks to ""Arrested Development,"" but even if you've never seen that show, it's almost impossible not to like this song.  It's not the greatest hit of the '80s, but it sure is one of the most fun... and yes, one of the most terrifyingly epic.",
A1HVTP58Q1CTJL,B00136NEAI,1,1,5,"As expected
Fast arrival. Good price!",
A1TYS7CRKAPL0Z,B00136NEAI,1,1,5,It's the final count down great music.,
A1WUSM5U3RQELL,B00136NOGC,1,1,4,"Well Ray Parker, Jr. vs Hughie Lewis controversy aside, its still a nice tune with a catchy hook and a perfect, fun Halloween song.  ""Bustin' makes me feel good!""",
A1SBOUSPSIAJNP,B00136NOGC,1,1,5,The perfect 80s song. Hands down.,
A1U1EVJAMYPF15,B00136NOGC,1,1,4,"I bought it to DJ at a Halloween party. Decent chord progression, OK lyrics, adequate melody. Can't say that I love it, it's  not a desert island song, but it's definitely OK.",
ALF0HXDJGI984,B00136NOGC,1,1,5,I love this song and the 70's music period,
A3EEKCGMZ2UQUE,B00136NOGC,1,1,5,Always great to have for Halloween to play in the background for trick or treaters.,
A28LYKSQEB8WNA,B00136NEAI,1,1,5,Love it!,
A1OTWKSJ933COE,B00136NEAI,1,1,5,Easy to purchase and download with Amazon software.,
A29OGJNNXXU9HZ,B00136NEAI,1,1,5,This song makes me happy every time I hear it. I even made it my ringtone.,
A23F5CMSAF3SNX,B00136NEAI,1,1,5,I have always liked this song.,
ADVVSULFAD6QD,B00136NEAI,1,1,5,Great song!,
A1QOADDY34RQ9,B00136NEAI,1,1,5,nice,
APV6BYU7QFJU7,B00136NEAI,1,1,5,"Always loved this tune, just needed to download it!",
A2Q8SB6GUYJVUD,B00136NEAI,1,1,5,This is a must have for any music collection.  You won't be disappointed with this great download. I highly recommend.,
ASDPTCEGEINUZ,B00136NEAI,1,1,5,Great 80's song. Gets the blood moving.  I still hear they used this at a the starting introduction to local hockey team.,
AUQ57MJBJND4J,B00136NIJK,1,1,5,love it,
A2SZ9F5U3S2DX0,B00136NIJK,1,1,5,Great product as described,
A3MKRM2Q9F04UH,B00136NIJK,1,1,5,I enjoyed it very much,
A2OZAKF6G23E3L,B00136NIJK,1,1,5,I loved it,
A1WV2XQMQSPEC0,B00136NIJK,1,1,5,Love it.,
A30A2OT1RSESWL,B00136NIJK,1,1,5,nice,
A197MNRHT8VT6J,B00136NIJK,1,1,5,Favorite Christmas song of all time.,
AF59STOA1N6DO,B00136NIJK,1,1,5,Can't hate any song that is performed by Andy Williams.  This is one of my favorites along with the movie of the same title.,
A3LPJW83HTSH7K,B00136NOGC,1,1,5,Classic hit from the 80's  Perfect for my Halloween playlist.,
A14YTPQDH3PAZU,B00136NOGC,1,1,5,Great.,
