reviewerID,asin,predictRating,T_v,overall,reviewText,filteredReview
A1E78KIR64YBT6,B000VZO4TW,1,1,5,my first favorite kiss song off the first favorite kiss album i own thank you for having it available and bring back those memories.,
ASUDG3BDP87CI,B000VZO4TW,1,1,5,Excellent,
AKMWILI3V2XCY,B000VZO4TW,1,1,5,"I don't like a bunch of Kiss, but I like this one.",
AAAVOYJKW8IC8,B000VZO4TW,1,1,5,"Loved the song.  Not a Kiss fan, but this song is excellent.",
A2HPG8QACV8QAJ,B000VZO4TW,1,1,5,love the song,
A2VAZRBS1VOBUF,B000VZO4TW,1,1,5,Great music!,
AGWD67X4C1ZVK,B000VZO4TW,1,1,5,great song. Thank you!!,
A86WP180LOBGH,B000VZO4TW,1,1,5,"Beautiful ballad by Penridge and KISS. This song, from the Destroyer album in 1976, is still a popular song with the young rockers ...after almost 40 years. Truly the mark of a great band and an awesome song!",
A3FVAWZNKW9GX,B000VZO4TW,1,1,5,"KISS is a rock n roll band. In the 1970-80s era, they embodied an aspect of rock alongside the Who, the Stones and the others. Most of their music is high testosterone, like ""Strutter,"" ""Hard Luck Woman,"" and ""I Was Made for Loving You,"" bordering on self-parody. They were and are fun.

Then there's ""Beth."" It is a quiet song, but is gritty in its message. It isn't a metal ballad, but could have just easily been performed by Bread. There is depth, passion, and love. It is poetic, melodic, and, in my opinion, has earned its spot as one of rock music's greatest songs.

If the rest of KISS' songwriting was on par with ""Beth,"" KISS could've been more than a fun band stuck its era, but had a legacy to last until the end of rock n roll.

It begins:

Beth, I hear you callin'
But I can't come home right now
Me and the boys are playin'
And we just can't find the sound

It ends:
Beth, I know you're lonely
And I hope you'll be alright
'Cause me and the boys will be playin'
All night

Look, if you are reading this review, you already know the song. Nothing here that's new. I suppose my review is for that one guy on the planet who loves KISS but magically, mysteriously missed this song. Is that even possible?

Anthony Trendl
anthonytrendl.com",
AB0ARZZCB97SK,B000VZO4TW,1,1,5,No problems.  Thanks!,
A19DLBU0S995WP,B000VZO4TW,1,1,5,Great,
AVLSVMBRYFGHF,B000VZO4TW,1,1,5,Love it. You wouldn't believe that it is Kiss..,
ARJT7QGL9IVDP,B000VZO4TW,1,1,4,Vintage Kiss,
A3DHMGQ93GIJCR,B000VZO4TW,1,1,5,"Love this song!! I would recamend this to anyone who loves ballets!! This was the way my hubbie and i were. but not now, but good song anyway!!",
A135GWMXMTR58Z,B000VZO4TW,1,1,5,. Another great old song from long ago that is on my Sansa fuze to enjoy daily at work. The old songs when music was great,
A3GJ6CFWN47N0U,B000VZPI7Y,1,1,5,"I enjoyed this song. I often listened to this song, repeatedly. I am happy to state that it is part of my music library.",
A2JY0CRCF9GWCH,B000VZQISW,1,1,5,"This song is from early in Trisha Yearwood's career.  I like some of her music, but this song has always captivated me.  Her voice is nice, but the combination of the vocals, the melody, and the words work extremely well together.  You may find yourself singing along and actually reminiscing of some ""back when"" moments of your own.  That is True song magic.",
A26GW9GHWZJ0UY,B000VZQISW,1,1,5,Just a poignant sweet reminiscing song to cause the listener to think of the one that got away or a fabulous memory with the significant other.  Trisha sings flawlessly in this song.,
A2W9LEXD3BAETW,B000VZQISW,1,-1,3,"I like this song and wanted to add it to my huge music collection, so I purchased it. Keeping all of that in mind, there are a whole lot of Trisha's albums/tracks that I'd put ahead of this and consider ""essential"" tracks too.",
A22PZBENWG6IM0,B000VZQHNS,1,1,5,THIS SONG IS AWESOME!!!!,
AXCE4WRBKMLY0,B000VZQHNS,1,1,5,Love it,
AOZCXHUOIBLE3,B000VZQHNS,1,1,4,Nice!,
A205K5U0M2K8QC,B000VZQHNS,1,1,4,"Product works great, great item to purchase.  I really enjoy it.  Thank you very much.",
A1QOYWEU4UPUML,B000VZQHNS,1,1,5,"One of the best tracks ever produced. I love the music, beat, tone, everything. This is a near perfect song and I wish she would have had more like it in her career. Get it now!",
A1203Q0HWECJXU,B000VZQHNS,1,1,5,"Overall, this is a great product due to its high replay value. I would recommend this product to both music aficionados and casual music listeners alike.",
AUDSM2CTLLW1Q,B000VZQHNS,-1,1,5,"Nelly Furtado completely remade herself in 2006.  Her earlier work, including hits ""I'm Like a Bird"" and ""Powerless"" were fun and entertaining songs (and Nelly is a very attractive, appealing artist), but they didn't excite the mass audiences.  They had more appeal to the Adult Contemporary chart.

  2006 saw the debut of her song ""Promiscuous"", where she teamed with Justin Timberlake and super-producer, Timbaland, to create this raw, sexually charged song that showed that Nelly was a bona fide sex symbol, instead of just being a cool hipster.  Timbaland's beats have always been among the best in the business.  However, Nelly's clever raps and strong vocals take ""Promiscuous"" to another level, as in all the way to #1 on the Billboard Hot 100. This set the tone for the remainder of her album ""Loose"", which showed her new image to be genuine instead of posed.",
A2UQGX6YMQ5BAL,B000VZQHNS,1,1,4,I saw this as a song choice for a book and once I heard the preview for the song I was hooked. This is a great song to listen to or work out too. I would highly recommend it,
A26GRWSM1Z4EAZ,B000VZQHNS,1,1,5,I am a big fan of this song and it's a great club song. I really like it a lot,
A1LGGZXCURHFLC,B000VZQHNS,1,1,5,This is a song that makes you want to get up and dance. It's a feel good song! I love this song.,
AS02LU5CR8VJP,B000VZQHNS,1,1,5,This is the same version I heard on the radio when it first came out. This is the studio recording and is not a live or concert version.,
A1PBK25WOPM6QA,B000VZQHNS,1,1,5,The beat is tight. Lyrics are well on point. Just a fun song to dance to. Nellly Furtado and Timbaland are a great combo.,
AN70QAG4P5TIS,B000VZQHNS,1,1,4,"I have no idea why I got this song or when, but I do like it. It's fun to clean to! hahaha",
A6DSDTFL9O4HB,B000VZSC8G,1,1,5,"I'll be honest... it's an Mp3 download.  It downloaded, I listened to it, end of story.  No problems getting it on my computer or accessing it.  Good times, man, good times.",
A18758S1PUYIDT,B000VZSC8G,1,1,5,"In this simple song, Lisa Loeb and Nine Stories express the conflicting emotions of people in many relationships, wondering if they should stay with someone who confuses them or drives them crazy.  Nice guitar work in particular, and lovely vocals.",
A33EIZD6GMJ1WL,B000VZSC8G,1,1,5,My favorite song from the 90's. Still great and I would recommend this song for your library. Great rhythm and beat.,
A3PYQ6EULBFXOL,B000VZSC8G,1,1,5,"Great vocals, lyrics, and Lisa's so cute.",
