reviewerID,itemID,overall,fine_feature,coarse_feature
A3KX1R4XD4BMXO,5557505946,5.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.5648372752662462
AKI0BEE4STZNM,5557505946,5.0,[0. 0. 5. 0. 0. 0. 0. 0. 5. 0.],0.5218427674162612
A3OWYXTI802I48,5557505946,5.0,[0. 0. 0. 5. 0. 5. 0. 0. 5. 0.],0.5031020532586802
A1Q3T8F0CTP2XV,5557505946,5.0,[0.    0.    0.    3.25  0.    0.    0.    0.    3.375 0.   ],0.5000023211506083
A2I6MHMAZZDCRX,5557505946,5.0,[0. 0. 5. 5. 0. 5. 5. 0. 5. 0.],0.5
AWMORCDEUIBFO,B0000CFWZA,5.0,[1.25  2.25  1.25  2.25  1.25  2.25  1.25  3.125 1.25  1.25 ],0.5188392980931636
A2BH870GC736PX,B0000CFWZA,5.0,[0. 5. 0. 0. 0. 5. 0. 0. 5. 0.],0.5
A4KDRKRTRMH51,B0000CFWZA,5.0,[1.375 1.375 1.375 1.375 1.375 1.375 1.375 1.375 1.375 1.375],0.5125118109108603
A1KCA1Q1NREJQJ,B0000CFWZA,5.0,[2.75 2.75 2.75 2.75 2.75 2.75 2.75 2.75 2.75 2.75],0.503120225110104
A20DZX38KRBIT8,B0000CFWZA,1.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.5280427879742443
A5R3U8ZSFKAL4,B0000CFWZA,4.0,[ 0.  0.  0.  0.  0.  0. -5.  0. -5.  0.],0.4875540951217474
A300AR4IM0KW21,B0000CFWZA,1.0,[0.    0.    0.    0.    0.    0.    3.375 0.    5.    0.   ],0.49375340618123836
A3RWQLRQ1OSKGN,B0000CFWZA,5.0,[0. 0. 0. 0. 0. 0. 5. 0. 5. 0.],0.5217220746843093
A263R1OE28R6YC,B0000CFWZA,5.0,[0.   0.   0.   4.   0.   0.   1.5  0.   1.75 0.  ],0.5
ANBSW3BALFRR2,B0000CFWZA,1.0,[0. 0. 0. 0. 0. 0. 5. 0. 5. 0.],0.5218179792724397
A3C6ZCBUNXUT7V,B0000CFWZA,5.0,[5. 0. 0. 0. 0. 0. 0. 0. 5. 0.],0.48750642945932066
A1MPEG5S1DNI52,B0000CFWZA,5.0,[0. 0. 0. 0. 0. 5. 5. 0. 5. 0.],0.5
A17R7H005QCW8O,B0000CFWZA,4.0,[0. 0. 0. 0. 0. 0. 5. 0. 5. 0.],0.5
AHMAQXXYIR6DK,B0000CFWZA,4.0,[0. 5. 0. 5. 0. 0. 0. 0. 5. 0.],0.5310445673994761
AEFRJ6ZBKGZV2,B0000CFWZA,2.0,[0. 0. 5. 0. 0. 0. 0. 5. 5. 0.],0.4999928815724979
ADJXL0W0RJ7VV,B0000CFWZA,1.0,[ 0.  0.  0.  0.  0.  0. -5.  0. -5.  0.],0.5
A2WA8R7ZNUHZMA,B0000CFWZA,1.0,[ 0.     0.     0.     0.     0.     0.    -1.25   0.    -2.875  0.   ],0.5
A2K150EBPF8LT7,B0000CFWZA,3.0,[0. 0. 0. 0. 0. 0. 5. 0. 5. 0.],0.5
ADJXL0W0RJ7VV,B0000CFWZA,1.0,[0. 0. 0. 0. 0. 0. 5. 0. 5. 0.],0.5186805386857898
A5TJL46NVFH47,B0000CFWZA,5.0,[0. 0. 5. 0. 0. 0. 5. 0. 5. 0.],0.5
A3O5T5VAQ3TD17,B0000CFWZA,5.0,[0.    0.    3.625 4.    0.    3.25  0.    0.    4.125 0.   ],0.5
AFPQVUEI3D46K,B0000CFWZA,4.0,[0. 0. 5. 0. 0. 0. 0. 0. 5. 0.],0.49067035006416454
A1820MF7SGB6U6,B000S3JC9E,5.0,[0. 0. 0. 0. 0. 0. 0. 0. 5. 0.],0.5
ANQYNX4B62RT5,B000S3JC9E,4.0,[0. 0. 0. 5. 0. 0. 5. 0. 5. 0.],0.5
A1KE19CDYIO2YN,B000S3JC9E,5.0,[ 0.     0.    -2.125  0.     0.     0.     0.     0.    -1.875  0.   ],0.5093785874898026
AQXT1UD6U6QCG,B000S3JC9E,5.0,[0. 0. 5. 5. 0. 0. 0. 0. 5. 0.],0.5
A28DJ4FW2LG77Z,B000S3JC9E,5.0,[0.    0.    0.    5.    0.    3.625 0.    0.    0.    0.   ],0.5
AN9AXUWNL1KNQ,B000S3JC9E,5.0,[0.   0.   0.   0.   0.25 0.   0.25 0.   0.   0.  ],0.5
A8N65GJ821ZCF,B000S3JC9E,5.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.5031154791679365
AJI7Q53V06VPR,B000S3JC9E,5.0,[0.    0.    0.    4.375 0.    0.    0.    0.    3.875 0.   ],0.5
A38DE2TCRXTVJL,B000S3JC9E,5.0,[ 0.    0.25  0.   -0.25  0.    0.    0.    0.    0.    0.  ],0.5191236299415682
A1YJIWBQOKBXJQ,B000S3JC9E,5.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.5406158160330895
A3923W0OJNGUHN,B000UWSOZQ,4.0,[0. 0. 0. 5. 0. 5. 5. 0. 0. 0.],0.5
A2XB5J6NB4C90,B000UWSOZQ,5.0,[0. 0. 0. 5. 0. 0. 0. 0. 5. 0.],0.5
A2OEUROGZDTXUJ,B000UWSOZQ,5.0,[0. 0. 0. 5. 0. 0. 5. 0. 0. 0.],0.5280001941414376
A29SBWIBG3WVO0,B000UWSOZQ,5.0,[ 0.125  0.125 -0.125  0.125  0.125  0.125  0.125  0.125  0.125  0.125],0.5
A11YRHINAJNUQJ,B000UWSOZQ,5.0,[ 0.     0.     0.    -2.625  0.     0.    -0.625  0.    -2.25   0.   ],0.5
A1LONDA25144EX,B000UWSOZQ,5.0,[ 0.    -1.375  0.     0.     0.    -4.125  0.     0.     0.     0.   ],0.5247785406309378
AP0NLKGV34CEL,B000VRNCT8,4.0,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.5248190178105466
A3359P76C0N5B6,B000VRNCT8,4.0,[0.   0.   0.   0.   0.   0.   0.   0.   3.25 0.  ],0.5093135440938635
A3TCDWQXX5EQQV,B000VRNCT8,5.0,[ 0.   -3.5   0.   -2.75  0.    0.   -2.75  0.    0.    0.  ],0.5
A1GN8UJIZLCA59,B000VRNCT8,4.0,[0.    0.    3.125 0.    0.    0.    0.    0.    3.375 0.   ],0.49687068133427165
A2NZ5UQQP3JCCN,B000WLQ8MG,5.0,[0. 0. 5. 5. 5. 0. 0. 0. 0. 0.],0.5093410867297108
A35JR4D6FLXYRQ,B000WLQ8MG,4.0,[0. 0. 0. 0. 0. 0. 5. 0. 5. 0.],0.4968886003200641
AMP7TQRWAIE84,B000WLQ8MG,4.0,[0. 5. 5. 5. 0. 5. 5. 0. 5. 0.],0.5
A1X93ES4DITTWK,B000WLQ8MG,2.0,[0. 0. 0. 0. 0. 0. 5. 0. 5. 0.],0.5
A1DIFL0333QPEB,B000WLQ8MG,4.0,[ 0.     0.    -3.25  -3.     0.     0.    -3.375  0.    -3.75   0.   ],0.5
A17R7H005QCW8O,B000WLQ8MG,1.0,[ 0.   -4.5   0.   -5.    0.    0.   -5.   -4.25 -5.    0.  ],0.5
A200C7YQJ45LRR,B000WLQ8MG,2.0,[0. 0. 5. 5. 0. 0. 5. 0. 5. 0.],0.5
A2WA8R7ZNUHZMA,B000WLQ8MG,1.0,[0.    0.    0.    0.    0.    0.    2.125 0.    1.75  0.   ],0.5
A461VTLW9G9YB,B000WLQ8MG,1.0,[ 0.    0.    0.   -4.5   0.    0.   -4.75  0.   -5.    0.  ],0.5062210320564188
A1QJHZUUMKZYZG,B000WLQ8MG,3.0,[ 0.  0. -5.  0.  0.  0. -5.  0. -5.  0.],0.5186729828805818
A9Q28YTLYREO7,B000WLQ8MG,1.0,[0.   0.   0.   0.   0.   0.   4.75 0.   5.   0.  ],0.5
A284OYO8DTZCK6,B00122RAC6,5.0,[0.   0.   0.   5.   0.   0.   0.   4.75 5.   0.  ],0.5
A3PLDUR8G57U2I,B00122RAC6,5.0,[0. 0. 0. 5. 0. 0. 5. 0. 0. 0.],0.4999944833796255
APNZQC57RFEPX,B00124AFFS,5.0,[0.    0.    0.    5.    0.    3.625 4.5   0.    0.    0.   ],0.5
