reviewerID,itemID,overall,fine_feature,coarse_feature
A2TYZ821XXK2YZ,3426958910,5,[0.    0.625 0.5   0.    0.    0.    0.    0.375 0.    0.   ],0.5500270192171883
A2VAMODP8M77NG,3426958910,5,[ 0.     0.     0.     0.     0.     0.     0.    -3.25  -3.625  0.   ],0.5250536863543098
A2TYZ821XXK2YZ,3426958910,5,[0.    0.625 0.5   0.    0.    0.    0.    0.375 0.    0.   ],0.5500270192171883
A2VAMODP8M77NG,3426958910,5,[ 0.     0.     0.     0.     0.     0.     0.    -3.25  -3.625  0.   ],0.5250536863543098
A3OH43OZJLKI09,5557706259,5,[0.    1.375 1.375 0.    0.    0.    0.    0.    0.    0.   ],0.49369236744900385
A3OH43OZJLKI09,5557706259,5,[0.    1.375 1.375 0.    0.    0.    0.    0.    0.    0.   ],0.49369236744900385
A6JP9YYJCK3WO,5557706259,4,[-0.25 -0.25 -0.25 -0.25 -0.25 -0.25 -0.25 -0.25 -0.25 -0.25],0.5031252681789223
A20Z0JD766DPG6,5557706259,5,[0.    0.    0.    0.    0.    0.    0.    0.875 0.    0.   ],0.49998063792587844
A1M379MK8MKGUF,5557706259,5,[ 0.     0.     0.375  0.     0.     0.    -1.     0.25   0.     0.   ],0.49061890517216755
AA762OWLWCPQ2,5557706259,5,[0. 5. 5. 0. 0. 0. 0. 5. 5. 0.],0.49374446180688075
A16QJ649N8PRV,5557706259,5,[5. 0. 5. 0. 0. 0. 0. 5. 0. 0.],0.5031353139446622
ADVX0P3EIKWBK,5557706259,2,[0. 0. 5. 0. 0. 0. 0. 5. 0. 0.],0.48750051037100595
A1XL1WKRIGSTGE,5559166928,5,[2.5   1.875 2.5   2.5   2.5   2.5   2.5   2.5   2.5   2.5  ],0.49376854142417564
A2WC24DWP57F8K,5559166928,5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.5061680736604232
A2OOQPH4D33DLM,5559166928,5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.5031341427659418
A16MMPW5DKVSAK,5559166928,5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.5
AJ79L3NEILJ4G,5559166928,4,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.5031106747890045
A33HHL9IUCK2C,5559166928,5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.5827865996088792
AJCC7PGJWTO7A,5559166928,5,[2.75 2.75 2.75 2.75 2.75 2.75 2.75 2.75 2.75 2.75],0.5
A3CON4WD5PKNWO,5559166928,5,[5. 5. 5. 0. 0. 5. 5. 5. 0. 0.],0.5218297130987419
A9Q28YTLYREO7,7799420340,5,[0. 0. 5. 0. 0. 5. 5. 0. 0. 0.],0.4781514622322312
A1KCA1O8SPOE8P,7799420340,4,[0. 0. 5. 0. 0. 0. 5. 5. 0. 0.],0.5062584262400213
A1RY96KKGQ84EE,7799420340,5,[5. 5. 5. 5. 5. 5. 5. 5. 5. 5.],0.493765159568117
A3HO0XCG4KZ16R,7799420340,5,[1.125 0.    2.75  0.    0.    0.    0.    1.375 0.    0.   ],0.5187272852430815
A3TM7P9GGJ6F4C,7799420340,5,[2.5   4.25  2.875 2.5   2.5   2.5   2.875 2.5   2.5   2.875],0.524967004943937
A2N6RNHQJ65T0F,7799420340,3,[0. 0. 0. 0. 5. 0. 0. 5. 0. 0.],0.5309834316530712
A6FHPZMFO858U,7799420340,5,[1.375 1.375 1.375 1.375 1.375 1.375 1.375 1.375 1.375 1.375],0.5
A1VTEL32W5FM13,7799420340,5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.5827865996088792
A3BD555VO8C6Z5,7799420340,5,[-1.125 -1.125 -1.125 -0.75  -1.5   -1.125 -1.125 -1.5   -1.125 -0.75 ],0.506280466363145
A23XZO4O454SX5,7799420340,5,[ 0.    -0.625 -0.625  0.     0.     0.     0.    -0.625  0.     0.   ],0.49062030780063337
A2WC24DWP57F8K,7799420340,5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.5061680736604232
A1M13030JH81Q7,7799420340,4,[2. 2. 2. 2. 2. 2. 2. 2. 2. 2.],0.5057886225968219
A18P38AAU083CS,7799420340,4,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.5062015061473952
A19ZZNXMQ4CQ2M,7799420340,5,[2. 2. 2. 2. 2. 2. 2. 2. 2. 2.],0.5057886225968219
ANAX7K8262IV8,7799420340,5,[0.    0.    0.    0.    0.125 0.    0.    0.25  0.    0.25 ],0.5186730995505116
A1DJDDPJP6THC1,7799420340,5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.5827865996088792
A1GQ4GI1UGS6YS,7799420340,5,[0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25],0.5
A252U29BFW84YM,7799420340,5,[0.    0.    0.    0.    0.375 0.    0.375 0.375 0.    0.375],0.4840312548157646
A20ZVK7L91JS7L,7799420340,5,[-0.125 -0.125 -0.125 -0.125 -0.125 -0.125 -0.125 -0.25  -0.125 -0.125],0.49064841742025284
AD3C29MKDX7V2,7799420340,5,[-0.125 -0.125 -0.125 -0.125 -0.125 -0.125 -0.125 -0.125 -0.125 -0.125],0.4906802112296385
A3F7U41ZW2FPE8,7799420340,5,[-0.125 -0.125 -0.125 -0.125 -0.125 -0.125 -0.125 -0.125 -0.125 -0.125],0.5031258063338242
A3RLNPQFXW3I42,7799420340,5,[0.    3.    4.375 0.    0.    0.    5.    0.    0.    0.   ],0.5187107256905354
A2VD6ZCI92C6UX,7799420340,5,[0.   0.75 0.   0.   1.5  0.   0.   1.5  0.   0.  ],0.5281100248377703
A2OXLM6GZX31II,7799420340,5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.4904059271158956
A34YKHOG6DGIXW,7799420340,5,[0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.   0.75],0.5031490129839965
A39F6C6EHDZ7SV,7799420340,5,[0.875 0.875 0.875 0.875 0.875 0.875 0.875 0.875 0.875 0.875],0.5031473628201487
A3T0YPN7A88L9D,7799420340,4,[2. 2. 2. 2. 2. 2. 2. 2. 2. 2.],0.5057886225968219
A1MHFO1841U6X7,7799420340,5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.5031001320373415
A38P3F25AA6VDX,7799420340,5,[5. 0. 5. 0. 0. 0. 0. 5. 0. 0.],0.5186917942078496
A1R7KUJHO2EVEC,7799420340,5,[5. 5. 5. 0. 0. 0. 5. 0. 0. 5.],0.5
A2A6LKO4CC39S0,7799420340,5,[0. 0. 5. 0. 0. 5. 5. 5. 0. 0.],0.4906218901278335
AYX1DZVLYWZP7,7799420340,5,[-0.375 -0.25  -0.375  0.     0.     0.     0.     0.     0.     0.   ],0.4875119341637449
A3J8ABVGK7ZL6H,7799420340,5,[-0.625 -0.125 -0.75   0.     0.     0.     0.     0.     0.     0.   ],0.4937563968428575
A3P9A99437UZH1,7799420340,5,[0. 0. 0. 0. 0. 5. 0. 5. 0. 0.],0.5031290090838453
A1X4XC87L0FGCF,7799420340,5,[3.125 2.375 0.    0.    0.    0.    0.    0.    0.    0.   ],0.5
A2S0OMLVU7HWW9,7799420340,5,[0. 0. 5. 0. 0. 0. 0. 5. 0. 0.],0.49060691089519837
A1W4TFTFA0V39V,7799420340,5,[ 0.  0.  0.  0.  0.  0.  0. -1.  0.  0.],0.5
A2YNL0PAKAQPRQ,7799420340,5,[2.75  0.    2.375 0.    0.    0.    0.    4.375 0.    0.   ],0.5186659954851816
A2IJ7JFHB94EKX,7799420340,5,[3.75  0.    3.25  0.    0.    0.    3.75  3.625 0.    4.375],0.5031056735003232
A1GIIPXONCEEHP,7799420340,5,[0. 0. 5. 0. 0. 0. 0. 5. 0. 0.],0.5124729209442787
AEMV9IMH665B9,7799420340,5,[0.    0.    1.875 0.    0.    0.    0.    0.    0.    0.   ],0.5031040314117561
A36RS7KTNOBROF,7799420340,5,[0. 0. 5. 0. 0. 0. 0. 0. 0. 0.],0.48754317136494973
A26Q3LIFIMUYMX,7799420340,5,[5. 0. 5. 0. 0. 0. 0. 5. 0. 0.],0.49686643866640817
A1F9Z42CFF9IAY,7799420340,5,[5. 0. 5. 0. 0. 0. 0. 0. 0. 0.],0.5251188010807654
A2PV6GK1HV54Y9,7799420340,5,[0. 5. 5. 0. 0. 5. 5. 5. 0. 0.],0.48129688963060807
A2OAKHL0E0A4YQ,7799420340,5,[0.    0.    4.875 0.    0.    3.75  0.    4.25  0.    0.   ],0.5093783750832234
A9Q28YTLYREO7,7799420340,5,[5. 0. 5. 0. 0. 0. 0. 0. 0. 0.],0.4781664672392896
A1IKOYZVFHO1XP,7799420340,5,[0. 5. 5. 0. 0. 0. 0. 5. 0. 0.],0.48750397218200114
A1QEWOSV05RYEO,7799420340,4,[0. 0. 5. 0. 0. 0. 0. 0. 0. 0.],0.5124873438341853
A344FQSEVEAG75,7799420340,4,[0. 5. 5. 0. 0. 0. 0. 5. 0. 0.],0.49688738027482204
AIDFLFUKJ657I,9434682614,5,[ 0.    -2.75  -1.375  0.     0.    -3.125  0.     0.     0.     0.   ],0.4719305103018953
AJR0OYOP007DB,9434682614,5,[0. 5. 5. 0. 0. 0. 0. 0. 0. 0.],0.509359304446947
A3J74IC5X508RW,9434682614,5,[2. 2. 2. 2. 2. 2. 2. 2. 2. 2.],0.5124833764523253
AXLD8ZXC8EHBB,9434682614,5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.5527798876868834
A1OI92E32SOMBJ,9434682614,4,[5. 0. 5. 0. 0. 0. 0. 5. 5. 0.],0.503127988547435
AWG2O9C42XW5G,9434682614,5,[0.   0.   0.25 0.   0.   0.   0.   0.25 0.   0.  ],0.5218456136024475
AWG2O9C42XW5G,9434682614,5,[0.   0.   0.25 0.   0.   0.   0.   0.25 0.   0.  ],0.5218456136024475
AWG2O9C42XW5G,9434682614,5,[0.   0.   0.25 0.   0.   0.   0.   0.25 0.   0.  ],0.5218456136024475
AWG2O9C42XW5G,9434682614,5,[0.   0.   0.25 0.   0.   0.   0.   0.25 0.   0.  ],0.5218456136024475
AWG2O9C42XW5G,9434682614,5,[ 0.     0.     0.125  0.     0.     0.    -0.125  0.125  0.     0.   ],0.49687953789882305
A2SS4R4VFD42SX,9434682614,5,[0.    0.    1.375 0.    0.    0.    0.    0.    0.    0.   ],0.5312510046497106
A31K5W6NWK68OA,9434682614,5,[0.    1.125 0.    0.    2.125 0.    0.    1.625 0.    0.   ],0.5031209981921426
A1WGUNGPYRR4TI,9434682614,3,[0. 0. 5. 0. 0. 0. 0. 0. 0. 0.],0.5124883459117558
A2AQSVHN93PBF0,9714721180,5,[0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.   0.75],0.5031490129839965
ATMDDH5RGXUGT,9714721180,5,[0.    0.    4.    0.    0.    3.125 0.    0.    0.    0.   ],0.4968598889112741
AD6G80D2PS6UG,9714721180,5,[2.25 2.25 2.25 2.25 2.25 2.25 2.25 2.25 1.5  2.25],0.4813342601105377
A2TK08AXKEH9B8,9714721180,5,[-0.625  0.    -0.625  0.     0.     0.     0.     0.     0.     0.   ],0.496876215536902
A15JTJXQXO22JJ,9714721180,5,[0.   0.   1.75 0.   0.   1.75 1.75 0.   0.   0.  ],0.47818754789540197
A1F9Z42CFF9IAY,9714721180,5,[0.    0.25  2.625 0.    0.    0.    0.    0.    0.    0.   ],0.5093555181492122
A30TALKCA3L0VK,9714721180,5,[0. 5. 5. 0. 0. 0. 0. 0. 0. 0.],0.5250975993983354
A13C6NTJ3HO0FX,9714721180,4,[ 0.  -0.5  0.   0.   0.   0.   0.  -0.5  0.   0. ],0.5031122540123931
A1DW48CPF98IBR,9714721180,5,[0. 0. 5. 0. 0. 0. 0. 5. 0. 0.],0.4718999368441143
AKGME0UCV6QEM,9714721180,5,[0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.   0.75],0.4843806811131458
A167KI3P7XN1AM,9714721180,5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.4907267417752884
AOQ1ZQFYPFG6S,9714721180,5,[0.    0.    2.875 0.    0.    0.    0.    0.    0.    0.   ],0.5249675356683231
A27TQ6L6C4XTYF,9714721180,5,[1.875 1.875 1.875 1.875 1.875 1.875 1.875 1.875 1.875 1.875],0.5093800299640195
A2Y1RV5JZEW299,9714721180,5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.5827865996088792
ARTEP8UTYX17C,9714721180,5,[0. 5. 0. 0. 0. 0. 0. 5. 0. 0.],0.48136595195407944
