reviewerID,itemID,overall,fine_feature,coarse_feature
A2TYZ821XXK2YZ,3426958910,5,[0.    1.    1.125 0.    1.375 0.    0.    0.    1.125 0.   ],0.5250253320496225
A2VAMODP8M77NG,3426958910,5,[ 0.    0.   -3.75  0.    0.    0.    0.    0.    0.    0.  ],0.5
A2TYZ821XXK2YZ,3426958910,5,[0.    1.    1.125 0.    1.375 0.    0.    0.    1.125 0.   ],0.5250253320496225
A2VAMODP8M77NG,3426958910,5,[ 0.    0.   -3.75  0.    0.    0.    0.    0.    0.    0.  ],0.5
A3OH43OZJLKI09,5557706259,5,[0.    0.    1.375 0.    1.375 0.    1.125 0.    0.    0.   ],0.5031101450389251
A6JP9YYJCK3WO,5557706259,4,[-0.25 -0.25 -0.25 -0.25 -0.25 -0.25 -0.5  -0.25 -0.25 -0.25],0.5249568025961356
A20Z0JD766DPG6,5557706259,5,[0.    0.    0.    0.    0.875 0.    0.    0.    0.    0.875],0.5311169301533938
A1M379MK8MKGUF,5557706259,5,[-1.375  0.     0.     0.    -1.375  0.    -1.375  0.     0.     0.   ],0.515601058438591
AA762OWLWCPQ2,5557706259,5,[5. 0. 5. 0. 5. 0. 0. 0. 5. 0.],0.5436350643421661
A3OH43OZJLKI09,5557706259,5,[0.    0.    1.375 0.    1.375 0.    1.125 0.    0.    0.   ],0.5031101450389251
A6JP9YYJCK3WO,5557706259,4,[-0.25 -0.25 -0.25 -0.25 -0.25 -0.25 -0.5  -0.25 -0.25 -0.25],0.5249568025961356
A20Z0JD766DPG6,5557706259,5,[0.    0.    0.    0.    0.875 0.    0.    0.    0.    0.875],0.5311169301533938
A1M379MK8MKGUF,5557706259,5,[-1.375  0.     0.     0.    -1.375  0.    -1.375  0.     0.     0.   ],0.515601058438591
AA762OWLWCPQ2,5557706259,5,[5. 0. 5. 0. 5. 0. 0. 0. 5. 0.],0.5436350643421661
A16QJ649N8PRV,5557706259,5,[0. 5. 0. 0. 5. 0. 0. 0. 0. 0.],0.5188113919448729
ADVX0P3EIKWBK,5557706259,2,[5. 5. 0. 0. 5. 0. 0. 0. 0. 0.],0.5560353991691052
A25B8W9VSY0C5Y,5557706259,5,[5. 5. 0. 0. 5. 0. 0. 0. 0. 5.],0.5374669495157339
A2I6MHMAZZDCRX,5557706259,5,[5. 5. 0. 0. 5. 0. 0. 0. 5. 0.],0.5498780685633916
A1XL1WKRIGSTGE,5559166928,5,[2.5   2.5   2.5   1.875 2.5   2.5   2.5   2.5   2.5   2.5  ],0.5438185894042797
A2WC24DWP57F8K,5559166928,5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.49060768121984755
A2OOQPH4D33DLM,5559166928,5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.49692464537031056
A16MMPW5DKVSAK,5559166928,5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.4875224748556959
AJ79L3NEILJ4G,5559166928,4,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.5
A33HHL9IUCK2C,5559166928,5,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],0.5653045563068863
