Key,Array
A10ZJZNO4DAVB,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
A1118RD3AJD5KH,"[0.         0.41096575 0.41096575 0.20548287 0.41096575 0.20548287
 0.41096575 0.         0.20548287 0.41096575]"
A12HTKLZWLEAF5,"[0.         0.41096575 0.41096575 0.20548287 0.41096575 0.20548287
 0.41096575 0.         0.20548287 0.41096575]"
A1BAZK7LSPBPEJ,"[0.         0.         0.         0.         0.         0.
 0.         2.73977166 0.         0.        ]"
A1CEDYAX0NG4BU,"[ 0.          0.          0.          0.          0.          0.
  0.         -2.73977166  0.          0.        ]"
A1DFI14L1LBOPJ,"[ 0.          0.          0.          0.          0.          0.
  0.         -2.73977166  0.          0.        ]"
A1J7I5095JBHH,"[0.         0.         0.         0.         0.         0.
 0.         0.         2.73977166 0.        ]"
A1L0QECT7J93ZP,"[0.         0.         1.09590866 0.         0.         0.
 0.         0.         0.         0.        ]"
A1T7DRMZ9A9KEA,"[ 0.          0.          0.         -2.19181733  0.          0.
  0.          0.          0.          0.        ]"
A1TEIICSK5IK0V,"[0.         0.         0.         2.19181733 0.         0.
 0.         0.         0.         0.        ]"
A1U4MBURSADCDU,"[1.50687441 1.50687441 1.50687441 1.50687441 1.50687441 1.50687441
 1.50687441 1.50687441 1.50687441 1.50687441]"
A1VN560NNZQIR0,"[0.         0.         0.         0.         0.         0.
 0.         0.         2.73977166 0.        ]"
A1WGC9NCI09T3D,"[ 0.          0.          0.          0.          0.          0.
  0.         -2.73977166  0.          0.        ]"
A1WGVH160JCIC,"[0.         0.         0.         0.         1.71235729 0.
 0.         0.         0.         0.        ]"
A1WWZ1NKXLFYNG,"[1.43838012 0.         0.         0.         0.         1.43838012
 0.         0.         1.50687441 0.        ]"
A1YVFD3TLX6E22,"[0.         0.         0.         2.73977166 0.         0.
 0.         2.73977166 0.         0.        ]"
A1ZM06J2A5XGHY,"[0.         0.         0.41096575 0.         0.         0.
 0.         0.         0.         0.        ]"
