ID,Array
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3552527156068805e-20, 0.0, -5.421010862427522e-20, -1.3552527156068805e-20, -4.235164736271502e-22, 4.235164736271502e-22, -1.6940658945086007e-21, -3.3881317890172014e-21, 2.710505431213761e-20, 0.0]"
1,"[0.0, 0.0, 0.0, -3.469446951953614e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.710505431213761e-20, 1.3234889800848443e-23, 0.0, 0.0, 0.0, -5.421010862427522e-20, 5.293955920339377e-23]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.776263578034403e-21, 0.0, 0.0, -4.235164736271502e-22, 2.710505431213761e-20, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
3,"[0.0, 0.0, 0.0, 5.421010862427522e-20, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.421010862427522e-20, -1.6940658945086007e-21, 0.0, 2.710505431213761e-20, 0.0, -1.0587911840678754e-22, 0.0, -3.3881317890172014e-21, 1.3552527156068805e-20, 0.0]"
4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -5.293955920339377e-23, -1.3234889800848443e-23, 0.0, -5.421010862427522e-20, 0.0, 0.0]"
5,"[0.0, -4.336808689942018e-19, -2.168404344971009e-19, -1.0842021724855044e-19, 8.673617379884035e-19, -8.673617379884035e-19, -2.168404344971009e-19, 0.0, 3.3881317890172014e-21, -2.168404344971009e-19, -1.0842021724855044e-19, -4.235164736271502e-22, 0.0, 1.3552527156068805e-20, 2.117582368135751e-22, 2.117582368135751e-22, 0.0, 0.0, 0.0, 0.0]"
6,"[0.0, 0.0, 0.0, -3.469446951953614e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.235164736271502e-22, -2.710505431213761e-20, 0.0, -1.0587911840678754e-22, 2.117582368135751e-22, 0.0, 1.0842021724855044e-19, -1.6940658945086007e-21, -2.6469779601696886e-23]"
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.3552527156068805e-20, -1.6940658945086007e-21, -2.117582368135751e-22, 0.0, -3.3881317890172014e-21, 0.0, 5.421010862427522e-20, 0.0]"
8,"[0.0, 0.0, 0.0, -8.673617379884035e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -6.776263578034403e-21, 0.0, 0.0, -1.3552527156068805e-20, 0.0, 0.0, -1.0587911840678754e-22, -2.710505431213761e-20, 0.0, 0.0]"
9,"[0.0, 3.469446951953614e-18, 0.0, 1.0842021724855044e-19, -3.469446951953614e-18, 6.938893903907228e-18, 0.0, -4.336808689942018e-19, -4.336808689942018e-19, 0.0, 0.0, 0.0, 5.421010862427522e-20, -5.421010862427522e-20, 0.0, -2.117582368135751e-22, 3.3881317890172014e-21, 0.0, 2.710505431213761e-20, -4.235164736271502e-22]"
10,"[0.0, -4.336808689942018e-19, 0.0, -5.421010862427522e-20, 0.0, 0.0, 0.0, 0.0, 2.710505431213761e-20, 0.0, 1.0842021724855044e-19, 0.0, 0.0, 3.3881317890172014e-21, -2.6469779601696886e-23, 0.0, 0.0, 0.0, 0.0, -1.6940658945086007e-21]"
11,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -8.470329472543003e-22, -3.3881317890172014e-21, -5.421010862427522e-20, 5.421010862427522e-20, 4.235164736271502e-22, 0.0, 1.6940658945086007e-21, 0.0, -1.6940658945086007e-21, 2.6469779601696886e-23]"
12,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -8.673617379884035e-19, 0.0, 0.0, 6.776263578034403e-21, -5.421010862427522e-20, -4.235164736271502e-22, 0.0, -2.6469779601696886e-23, 0.0, 0.0, 5.421010862427522e-20, 2.117582368135751e-22]"
13,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3552527156068805e-20, 0.0, 0.0, 3.3881317890172014e-21, 0.0, 0.0, 0.0]"
14,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0842021724855044e-19, 0.0, 1.0842021724855044e-19, 6.776263578034403e-21, -2.710505431213761e-20, 3.3881317890172014e-21, 1.0587911840678754e-22, 5.293955920339377e-23, -5.293955920339377e-23, 0.0, 0.0, 3.3881317890172014e-21]"
15,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.776263578034403e-21, 0.0, 0.0, 0.0, -1.0587911840678754e-22, 0.0, 2.710505431213761e-20, 2.710505431213761e-20, 0.0]"
16,"[0.0, 0.0, 0.0, 3.469446951953614e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.776263578034403e-21, -3.3881317890172014e-21, 5.421010862427522e-20, 1.3552527156068805e-20, 0.0, -2.117582368135751e-22, -3.3881317890172014e-21, -5.421010862427522e-20, 0.0, 0.0]"
17,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -5.293955920339377e-23, 0.0, 8.470329472543003e-22, -1.0842021724855044e-19, 0.0, 1.6940658945086007e-21]"
18,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0842021724855044e-19, 0.0, 5.421010862427522e-20, -3.3881317890172014e-21, 0.0, 0.0, 1.6940658945086007e-21, 5.421010862427522e-20, 4.235164736271502e-22, 4.235164736271502e-22]"
19,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.710505431213761e-20, 0.0, -3.3881317890172014e-21, 1.3552527156068805e-20, 2.710505431213761e-20, 4.235164736271502e-22, 0.0, 1.6940658945086007e-21, 2.710505431213761e-20, 0.0, 8.470329472543003e-22]"
20,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -8.673617379884035e-19, 0.0, -3.3881317890172014e-21, 1.6940658945086007e-21, 0.0, 0.0, 2.6469779601696886e-23, -4.235164736271502e-22, 4.235164736271502e-22, 0.0, 8.470329472543003e-22, 0.0]"
