reviewerID,asin,predictRating,T_v,overall,reviewText,filteredReviewText
A3BXFHLVV3A91V,B00136NEAI,-1,1,5,You can't not love this song.,You ca n't not love this song .
A3RKPOI7A1CV9Q,B00136NEAI,1,-1,3,ok,ok
A1LMH3D9Z7IW1H,B00136NOGC,-1,1,4,"I like the song and all, but it isn't the most original song I've heard. *Cough cough* Soul Finger by the Bar-Kays","I like the song and all , but it is n't the most original song I 've heard ."
A2TN6I9L54GEE8,B00136NEAI,-1,1,4,"We were looking for this song to put on a basketball pre-game warmup CD and were able to find it here. I was hoping the volume would have been a little higher to match the volume of the other songs we have for the CD.

Leon",We were looking for this song to put on a basketball pre - game warmup CD and were able to find it here . I was hoping the volume would have been a little higher to match the volume of the other songs we have for the CD .
A2TN6I9L54GEE8,B00136NEAI,-1,1,4,"We were looking for this song to put on a basketball pre-game warmup CD and were able to find it here. I was hoping the volume would have been a little higher to match the volume of the other songs we have for the CD.

Leon",We were looking for this song to put on a basketball pre - game warmup CD and were able to find it here . I was hoping the volume would have been a little higher to match the volume of the other songs we have for the CD .
A2TN6I9L54GEE8,B00136NEAI,-1,1,4,"We were looking for this song to put on a basketball pre-game warmup CD and were able to find it here. I was hoping the volume would have been a little higher to match the volume of the other songs we have for the CD.

Leon",We were looking for this song to put on a basketball pre - game warmup CD and were able to find it here . I was hoping the volume would have been a little higher to match the volume of the other songs we have for the CD .
A3I1DV06YIICNO,B00136NIJK,-1,1,5,"This is the good old classic version of the song that you hear on the radio every Christmas. That's what my daughter wanted. If you're looking for something fresh or new, look elsewhere.","This is the good old classic version of the song that you hear on the radio every Christmas . If you 're looking for something fresh or new , look elsewhere ."
A2RRWCXVGMDG7,B00136NMRI,-1,1,5,AS EXPECTED,
A5YF77DUENCZW,B00136NMRI,-1,1,5,this was a downloaded song so I do not know why I would have to do a review for it,so I do not know why I would have to do a review for it
A1X7C3C0XILSVC,B00136NJ4Y,-1,1,5,Everything as described.,
A6DBW9JN99I33,B00136NIV8,1,-1,1,"I gave this download only one star because, even though it did download into iTunes on my p.c., I could not get it to sync into my mp3 player as I did with two other songs I purchased from Amazon.com:  'I Can Only Imagine' by MercyMe, and 'All of Creation', also by MercyMe.  If your tech support team can help me with this, I would greatly appreciate it.","I gave this download only one star because , even though it did download into iTunes on my p.c . , I could not get it to sync into my mp3 player as I did with two other songs I purchased from Amazon.com : ' I Can Only Imagine ' by MercyMe , and ' All of Creation ' , also by MercyMe . If your tech support team can help me with this , I would greatly appreciate it ."
A1SP7JASDV74RD,B00136NIV8,-1,1,5,Oz,
A1UHV0T152J92N,B00136NIV8,-1,1,5,Ozzy,
A1EX5SK2PD0XLC,B00136NMVY,-1,1,5,"The song has some catchy lines that kind of make it.  I'm not a Harry Nilson fan, but this song is not typical of his music either(at least in my opinion).  It's the kind  of song you can get in your head (especially the opening lines) and then have trouble getting it out of your mind.","The song has some catchy lines that kind of make it . I 'm not a Harry Nilson fan , but this song is not typical of his music either(at least in my opinion ) . It 's the kind   of song you can get in your head ( especially the opening lines ) and then have trouble getting it out of your mind ."
