Key,Array
3426958910,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.710505431213761e-20, 0.0, 0.0, 4.235164736271502e-22, 0.0, -1.3552527156068805e-20, -1.6940658945086007e-21, -1.6940658945086007e-21, 4.1359030627651384e-25, 0.0, 3.3881317890172014e-21, -3.3881317890172014e-21, 2.117582368135751e-22]"
5557706259,"[1.0842021724855044e-19, 4.336808689942018e-19, 4.336808689942018e-19, 0.0, 0.0, -4.336808689942018e-19, 0.0, 2.710505431213761e-20, 0.0, 0.0, 0.0, 0.0, -1.3552527156068805e-20, -8.470329472543003e-22, 0.0, 1.3234889800848443e-23, 4.235164736271502e-22, 0.0, -3.3881317890172014e-21, 0.0]"
5559166928,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.776263578034403e-21, 0.0, 1.6940658945086007e-21, -1.6940658945086007e-21, -1.6940658945086007e-21, 6.776263578034403e-21, 0.0, 0.0, 0.0]"
7799420340,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.117582368135751e-22, 0.0, -4.235164736271502e-22, -6.776263578034403e-21, 2.117582368135751e-22, -1.6940658945086007e-21, 1.0587911840678754e-22, 0.0, -3.3881317890172014e-21, -1.3552527156068805e-20]"
9434682614,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.235164736271502e-22, 1.3234889800848443e-23, -4.235164736271502e-22, 0.0, 6.776263578034403e-21, 0.0, 0.0, 0.0, -5.293955920339377e-23, -3.3881317890172014e-21]"
9714721180,"[0.0, 0.0, 0.0, 0.0, 0.0, -8.673617379884035e-19, -2.168404344971009e-19, 0.0, 0.0, -5.421010862427522e-20, 0.0, -4.235164736271502e-22, -1.3552527156068805e-20, 0.0, 0.0, 2.6469779601696886e-23, 6.776263578034403e-21, -1.3234889800848443e-23, -1.6940658945086007e-21, 0.0]"
9721717150,"[0.0, 0.0, 0.0, 0.0, 0.0, -1.6940658945086007e-21, 0.0, 0.0, 0.0, -3.308722450212111e-24, 0.0, 0.0, 0.0, 3.308722450212111e-24, -8.470329472543003e-22, 4.1359030627651384e-25, 8.470329472543003e-22, 0.0, -2.117582368135751e-22, 0.0]"
B000002TTH,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6940658945086007e-21, -1.3552527156068805e-20, 5.293955920339377e-23, 0.0, -2.710505431213761e-20, -3.3881317890172014e-21, 0.0, -6.776263578034403e-21, 0.0, -1.6940658945086007e-21]"
B000006045,"[0.0, -5.421010862427522e-20, 0.0, 0.0, 0.0, 0.0, -5.421010862427522e-20, 0.0, 0.0, 0.0, 0.0, -8.470329472543003e-22, 4.235164736271502e-22, -6.776263578034403e-21, 6.776263578034403e-21, -2.117582368135751e-22, 0.0, 5.293955920339377e-23, 2.117582368135751e-22, -8.470329472543003e-22]"
B00000747R,"[0.0, -2.710505431213761e-20, 0.0, 0.0, 0.0, -1.0842021724855044e-19, 0.0, 0.0, 0.0, 0.0, -1.6940658945086007e-21, 6.776263578034403e-21, 0.0, -8.470329472543003e-22, 1.3552527156068805e-20, 0.0, -3.3881317890172014e-21, -2.710505431213761e-20, 2.117582368135751e-22, 0.0]"
B000007UVW,"[-2.710505431213761e-20, 0.0, 4.235164736271502e-22, 0.0, 0.0, -4.336808689942018e-19, 4.336808689942018e-19, 0.0, 0.0, 0.0, 1.3552527156068805e-20, 0.0, 0.0, -2.117582368135751e-22, -1.3552527156068805e-20, 3.3881317890172014e-21, 0.0, 5.293955920339377e-23, -4.235164736271502e-22, 1.3552527156068805e-20]"
B00000I7LP,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0842021724855044e-19, 0.0, 0.0, 0.0, -1.6940658945086007e-21, 3.3881317890172014e-21, 0.0, 1.0587911840678754e-22, -3.3881317890172014e-21, -2.117582368135751e-22, 0.0, 0.0, 0.0, -6.776263578034403e-21]"
B00004TTUZ,"[0.0, -4.336808689942018e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.710505431213761e-20, 0.0, 0.0, 1.6940658945086007e-21, 0.0, -1.3234889800848443e-23, 0.0, 0.0, 1.3552527156068805e-20, -6.776263578034403e-21]"
B0000564WK,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.117582368135751e-22, 1.0587911840678754e-22, 0.0, 0.0, 0.0, 0.0, 3.3881317890172014e-21]"
B000091NES,"[0.0, 1.3552527156068805e-20, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.235164736271502e-22, 0.0, 0.0, 0.0, 1.6940658945086007e-21, 5.293955920339377e-23, 3.3881317890172014e-21, 0.0, 0.0, 0.0]"
B0002HA8IA,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.6469779601696886e-23, 0.0, 6.776263578034403e-21, 0.0, 0.0, 1.6940658945086007e-21, 0.0, 0.0, 0.0, 0.0]"
B0006TTLIC,"[0.0, -2.168404344971009e-19, 1.0842021724855044e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -8.470329472543003e-22, -1.6940658945086007e-21, -1.0587911840678754e-22, -6.776263578034403e-21, 6.776263578034403e-21, -4.235164736271502e-22, 0.0]"
B000BD5OPM,"[-1.6940658945086007e-21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.6469779601696886e-23, 0.0, 1.6940658945086007e-21, 0.0, 0.0, 0.0, 1.6940658945086007e-21, -3.3881317890172014e-21, -1.6940658945086007e-21, 2.710505431213761e-20]"
