Key,Array
3426958910,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5093458640650822, 0.7003505630894881, 0.7640187960976232, 0.0, 0.0]"
5557706259,"[2.5783835437872984, 2.5783835437872984, 2.5783835437872984, 2.5783835437872984, 0.0, 2.5783835437872984, 0.0, 2.5783835437872984, 0.0, 0.0]"
5559166928,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
7799420340,"[2.5, 0.0, 2.5, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0]"
9434682614,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12812818325243666, 0.0, 0.0]"
9714721180,"[2.6873063307382417, 0.0, 0.0, 0.0, 0.0, 2.6873063307382417, 2.6873063307382417, 0.0, 0.0, 2.6873063307382417]"
9721717150,"[0.0, 0.0, 0.0, 0.0, 0.0, -0.1944740539489226, 0.0, 0.0, 0.0, -0.1944740539489226]"
B000002TTH,"[2.5, 2.5, 0.0, 0.0, 0.0, 2.5, 2.5, 0.0, 0.0, 0.0]"
B000006045,"[0.0, 2.5468151953185676, 0.0, 0.0, 0.0, 2.5468151953185676, 2.5468151953185676, 0.0, 0.0, 0.0]"
B00000747R,"[2.655936530890683, 2.655936530890683, 0.0, 0.0, 0.0, 2.655936530890683, 0.0, 0.0, 0.0, 0.0]"
B000007UVW,"[2.655825066683904, 0.0, 2.655825066683904, 0.0, 0.0, 2.655825066683904, 2.655825066683904, 0.0, 0.0, 0.0]"
B00000I7LP,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3746526187004837, 0.0, 0.0, 0.6873263093502419]"
B00004TTUZ,"[0.0, 2.6710242923606975, 2.6710242923606975, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
B0000564WK,"[2.7026185836517365, 2.7026185836517365, 0.0, 0.0, 0.0, 0.0, 2.7026185836517365, 0.0, 0.0, 0.0]"
B000091NES,"[0.5695414821462248, 0.5695414821462248, 0.5695414821462248, 0.0, 0.0, 0.0, 0.5695414821462248, 0.0, 0.0, 0.0]"
B0002HA8IA,"[2.6561995188920036, 2.6561995188920036, 0.0, 2.6561995188920036, 0.0, 2.6561995188920036, 0.0, 0.0, 0.0, 0.0]"
