Key,Array
A0072041HVZ3465DXUOR,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.6918029976876777, 0.0, 0.0]"
A101N4D8PRU6N5,"[2.4999454003473423, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.4999454003473423, 0.0, 2.4999454003473423]"
A103DHU1X6VC9T,"[0.0, 0.0, 2.5934422278577687, 0.0, 0.0, 2.5934422278577687, 0.0, 0.0, 0.0, 2.5934422278577687]"
A1049BXR3MAWT4,"[0.0, 0.0, 1.25, 0.0, 0.0, 0.0, 2.375, 0.0, 0.0, 0.0]"
A104MLZZ7X1OTT,"[0.0, 2.7400421228670293, 0.0, 0.0, 0.0, 2.7400421228670293, 0.0, 0.0, 0.0, 2.7400421228670293]"
A105188E1HFWRX,"[0.0, 0.0, 2.25, 1.5625, 0.0, 1.5625, 0.0, 0.0, 0.0, 1.5625]"
A1068Y432OYVO5,"[0.0, 0.0, 0.0, 1.625, 0.0, 0.0, 0.0, 2.4375, 0.0, 0.0]"
A107OPFJV11RKO,"[2.5, 2.5, 2.5, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A108SSM7YMMTOM,"[0.0, 0.0, 2.5, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0]"
A10ADY0N5QKCHQ,"[1.36638285205229, 1.36638285205229, 1.36638285205229, 1.36638285205229, 1.36638285205229, 1.36638285205229, 1.36638285205229, 1.36638285205229, 1.36638285205229, 1.36638285205229]"
A10APFU4SBMAM1,"[2.5, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A10DNCYK7YISHU,"[-0.26561011255366135, 0.46481769696890735, 0.0, 0.6640252813841534, 0.0, 0.7304278095225687, -0.06640252813841534, -0.199207584415246, 0.0, 0.0]"
A10FRUJV17R7TG,"[-0.1226539820536296, -0.1226539820536296, -0.1226539820536296, -0.1226539820536296, -0.0613269910268148, -0.0613269910268148, -0.0613269910268148, -0.0613269910268148, -0.1226539820536296, -0.1226539820536296]"
A10HGE7LJ8EQA8,"[0.0, 0.0, 0.7546645891991163, 0.7546645891991163, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A10IOOZO8K4K39,"[0.5939900961079168, 0.5939900961079168, 1.121981292648287, 1.121981292648287, 0.5939900961079168, 0.5939900961079168, 1.121981292648287, 0.5939900961079168, 0.5939900961079168, 1.121981292648287]"
A10KCGSDJJAVRO,"[2.5780329965687967, 2.5780329965687967, 0.0, 0.0, 0.0, 2.5780329965687967, 2.5780329965687967, 0.0, 0.0, 0.0]"
A10KHX41ONY4U1,"[0.0, 0.0, 2.5, 2.5, 2.5, 0.0, 0.0, 0.0, 0.0, 2.5]"
A10M52OJSDB8WK,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A10NPPQEOF8QN6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A10RGW04GM7E7T,"[0.19101629494560488, 0.0, 0.19101629494560488, 0.19101629494560488, 0.19101629494560488, 0.19101629494560488, 0.19101629494560488, 0.19101629494560488, 0.19101629494560488, 0.19101629494560488]"
A10UMIIKKL8WTB,"[1.552809747180963, 1.552809747180963, 1.552809747180963, 1.552809747180963, 1.552809747180963, 1.552809747180963, 1.552809747180963, 1.552809747180963, 1.552809747180963, 1.552809747180963]"
A10VCPP8YCE1QY,"[-0.8125, 0.0, 0.0, -0.9375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A10WH2W0AGHR92,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
A10WNL4KTJVMX4,"[0.0, 0.0, 1.760903745798681, 0.0, 0.0, 0.0, 1.949572004277111, 0.0, 0.0, 0.0]"
A10X28FN19BYTP,"[0.0, 2.5779957699353515, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5779957699353515]"
A10XJR7CWHNKWU,"[2.5312410933074094, 2.5312410933074094, 0.0, 0.0, 0.0, 2.5312410933074094, 2.5312410933074094, 0.0, 0.0, 0.0]"
A10YG5BXSCPD91,"[0.0, 0.0, 1.5625, 0.0, 0.0, 0.0, 1.5625, 1.5625, 0.0, 0.0]"
A10YHHXK6OKAMA,"[0.0, 0.0, 2.5, 0.0, 2.5, 0.0, 0.0, 2.5, 0.0, 0.0]"
A10ZTNFSUVSUDS,"[0.0, 0.0, 0.0, 1.925404595827607, 0.0, 2.2980635498587567, 1.925404595827607, 0.0, 0.0, 1.925404595827607]"
A110ZEDSNASVCO,"[0.0, 0.0, 2.56235762628835, 0.0, 0.0, 2.56235762628835, 0.0, 0.0, 0.0, 2.56235762628835]"
