ID,Array
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.710505431213761e-20, 0.0, 0.0, 4.235164736271502e-22, 0.0, -1.3552527156068805e-20, -1.6940658945086007e-21, -1.6940658945086007e-21, 4.1359030627651384e-25, 0.0, 3.3881317890172014e-21, -3.3881317890172014e-21, 2.117582368135751e-22]"
1,"[1.0842021724855044e-19, 4.336808689942018e-19, 4.336808689942018e-19, 0.0, 0.0, -4.336808689942018e-19, 0.0, 2.710505431213761e-20, 0.0, 0.0, 0.0, 0.0, -1.3552527156068805e-20, -8.470329472543003e-22, 0.0, 1.3234889800848443e-23, 4.235164736271502e-22, 0.0, -3.3881317890172014e-21, 0.0]"
2,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.776263578034403e-21, 0.0, 1.6940658945086007e-21, -1.6940658945086007e-21, -1.6940658945086007e-21, 6.776263578034403e-21, 0.0, 0.0, 0.0]"
3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.117582368135751e-22, 0.0, -4.235164736271502e-22, -6.776263578034403e-21, 2.117582368135751e-22, -1.6940658945086007e-21, 1.0587911840678754e-22, 0.0, -3.3881317890172014e-21, -1.3552527156068805e-20]"
4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.235164736271502e-22, 1.3234889800848443e-23, -4.235164736271502e-22, 0.0, 6.776263578034403e-21, 0.0, 0.0, 0.0, -5.293955920339377e-23, -3.3881317890172014e-21]"
5,"[0.0, 0.0, 0.0, 0.0, 0.0, -8.673617379884035e-19, -2.168404344971009e-19, 0.0, 0.0, -5.421010862427522e-20, 0.0, -4.235164736271502e-22, -1.3552527156068805e-20, 0.0, 0.0, 2.6469779601696886e-23, 6.776263578034403e-21, -1.3234889800848443e-23, -1.6940658945086007e-21, 0.0]"
6,"[0.0, 0.0, 0.0, 0.0, 0.0, -1.6940658945086007e-21, 0.0, 0.0, 0.0, -3.308722450212111e-24, 0.0, 0.0, 0.0, 3.308722450212111e-24, -8.470329472543003e-22, 4.1359030627651384e-25, 8.470329472543003e-22, 0.0, -2.117582368135751e-22, 0.0]"
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6940658945086007e-21, -1.3552527156068805e-20, 5.293955920339377e-23, 0.0, -2.710505431213761e-20, -3.3881317890172014e-21, 0.0, -6.776263578034403e-21, 0.0, -1.6940658945086007e-21]"
8,"[0.0, -5.421010862427522e-20, 0.0, 0.0, 0.0, 0.0, -5.421010862427522e-20, 0.0, 0.0, 0.0, 0.0, -8.470329472543003e-22, 4.235164736271502e-22, -6.776263578034403e-21, 6.776263578034403e-21, -2.117582368135751e-22, 0.0, 5.293955920339377e-23, 2.117582368135751e-22, -8.470329472543003e-22]"
9,"[0.0, -2.710505431213761e-20, 0.0, 0.0, 0.0, -1.0842021724855044e-19, 0.0, 0.0, 0.0, 0.0, -1.6940658945086007e-21, 6.776263578034403e-21, 0.0, -8.470329472543003e-22, 1.3552527156068805e-20, 0.0, -3.3881317890172014e-21, -2.710505431213761e-20, 2.117582368135751e-22, 0.0]"
10,"[-2.710505431213761e-20, 0.0, 4.235164736271502e-22, 0.0, 0.0, -4.336808689942018e-19, 4.336808689942018e-19, 0.0, 0.0, 0.0, 1.3552527156068805e-20, 0.0, 0.0, -2.117582368135751e-22, -1.3552527156068805e-20, 3.3881317890172014e-21, 0.0, 5.293955920339377e-23, -4.235164736271502e-22, 1.3552527156068805e-20]"
11,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0842021724855044e-19, 0.0, 0.0, 0.0, -1.6940658945086007e-21, 3.3881317890172014e-21, 0.0, 1.0587911840678754e-22, -3.3881317890172014e-21, -2.117582368135751e-22, 0.0, 0.0, 0.0, -6.776263578034403e-21]"
12,"[0.0, -4.336808689942018e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.710505431213761e-20, 0.0, 0.0, 1.6940658945086007e-21, 0.0, -1.3234889800848443e-23, 0.0, 0.0, 1.3552527156068805e-20, -6.776263578034403e-21]"
13,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.117582368135751e-22, 1.0587911840678754e-22, 0.0, 0.0, 0.0, 0.0, 3.3881317890172014e-21]"
14,"[0.0, 1.3552527156068805e-20, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.235164736271502e-22, 0.0, 0.0, 0.0, 1.6940658945086007e-21, 5.293955920339377e-23, 3.3881317890172014e-21, 0.0, 0.0, 0.0]"
15,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.6469779601696886e-23, 0.0, 6.776263578034403e-21, 0.0, 0.0, 1.6940658945086007e-21, 0.0, 0.0, 0.0, 0.0]"
16,"[0.0, -2.168404344971009e-19, 1.0842021724855044e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -8.470329472543003e-22, -1.6940658945086007e-21, -1.0587911840678754e-22, -6.776263578034403e-21, 6.776263578034403e-21, -4.235164736271502e-22, 0.0]"
17,"[-1.6940658945086007e-21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.6469779601696886e-23, 0.0, 1.6940658945086007e-21, 0.0, 0.0, 0.0, 1.6940658945086007e-21, -3.3881317890172014e-21, -1.6940658945086007e-21, 2.710505431213761e-20]"
18,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -6.776263578034403e-21, 0.0, 0.0, 0.0, -3.3881317890172014e-21, 0.0, 0.0, 0.0, 3.3881317890172014e-21, 0.0]"
19,"[0.0, -2.168404344971009e-19, 0.0, 0.0, 0.0, -2.168404344971009e-19, 0.0, 0.0, -1.3552527156068805e-20, -5.421010862427522e-20, 4.235164736271502e-22, 0.0, 8.470329472543003e-22, 1.3552527156068805e-20, 0.0, 1.3552527156068805e-20, 8.470329472543003e-22, -4.235164736271502e-22, 0.0, 0.0]"
20,"[0.0, 1.3552527156068805e-20, 0.0, 0.0, -2.710505431213761e-20, 2.710505431213761e-20, 6.776263578034403e-21, 0.0, 0.0, -8.470329472543003e-22, 1.3552527156068805e-20, 0.0, 0.0, 0.0, 0.0, 0.0, 3.3881317890172014e-21, 0.0, 0.0, 0.0]"
21,"[0.0, 1.0842021724855044e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.117582368135751e-22, 0.0, 0.0, 0.0, 0.0, -2.117582368135751e-22, 0.0, 1.3552527156068805e-20, -2.117582368135751e-22, 6.776263578034403e-21]"
22,"[0.0, 2.168404344971009e-19, 0.0, 0.0, 0.0, 1.0842021724855044e-19, 0.0, 0.0, 0.0, 2.168404344971009e-19, -1.3234889800848443e-23, 0.0, 3.3881317890172014e-21, -3.3881317890172014e-21, 0.0, -3.3881317890172014e-21, 2.117582368135751e-22, 0.0, 3.3881317890172014e-21, -8.470329472543003e-22]"
23,"[1.0842021724855044e-19, -6.776263578034403e-21, 0.0, 0.0, 0.0, 3.3881317890172014e-21, 0.0, 0.0, 0.0, 0.0, -3.3881317890172014e-21, -1.6940658945086007e-21, -1.6940658945086007e-21, -1.3552527156068805e-20, 0.0, 3.308722450212111e-24, 2.117582368135751e-22, 0.0, 0.0, 3.3881317890172014e-21]"
