ID,Array
0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.293955920339377e-23, 0.0, 8.470329472543003e-22, -5.293955920339377e-23, -2.117582368135751e-22, -1.3552527156068805e-20]"
1,"[-1.0842021724855044e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.168404344971009e-19, 0.0, 1.0842021724855044e-19, 0.0, -5.293955920339377e-23, 0.0, 6.776263578034403e-21, 0.0, -6.617444900424222e-24, 4.235164736271502e-22, 0.0, 0.0, -1.6940658945086007e-21]"
2,"[0.0, 0.0, -1.0842021724855044e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0842021724855044e-19, 0.0, 6.776263578034403e-21, 0.0, 0.0, 0.0, -1.6543612251060553e-24, 0.0, 1.6940658945086007e-21, 0.0, 4.235164736271502e-22]"
3,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.6940658945086007e-21, 0.0, 0.0, 0.0, 0.0, 3.3881317890172014e-21, 0.0, 0.0, 0.0]"
4,"[0.0, -1.0842021724855044e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.293955920339377e-23, 1.6940658945086007e-21, 0.0, 0.0, -1.3552527156068805e-20, 0.0, -4.0389678347315804e-28, 0.0, 0.0, 0.0]"
5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -6.617444900424222e-24, 0.0, -4.235164736271502e-22, 0.0, -1.3552527156068805e-20, -1.6940658945086007e-21, 0.0, -4.235164736271502e-22, -4.235164736271502e-22, 0.0]"
6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3552527156068805e-20, 0.0, 0.0, 0.0, -1.6940658945086007e-21, 0.0, 0.0, 0.0]"
7,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0587911840678754e-22, 0.0, -3.3881317890172014e-21, 0.0, 0.0, -6.776263578034403e-21, 0.0, 0.0, 1.0587911840678754e-22, 0.0]"
8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.117582368135751e-22, 0.0, 3.308722450212111e-24, -5.293955920339377e-23, -1.6940658945086007e-21, 0.0, 4.235164736271502e-22, 0.0, -2.117582368135751e-22, 0.0]"
9,"[-1.3552527156068805e-20, -5.421010862427522e-20, -2.710505431213761e-20, 2.710505431213761e-20, 0.0, -1.0842021724855044e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.235164736271502e-22, -1.6940658945086007e-21, 1.0339757656912846e-25, 2.6469779601696886e-23, 4.235164736271502e-22, 4.235164736271502e-22, 0.0, 3.3881317890172014e-21]"
