Key,Array
A0072041HVZ3465DXUOR,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.293955920339377e-23, 0.0, 8.470329472543003e-22, -5.293955920339377e-23, -2.117582368135751e-22, -1.3552527156068805e-20]"
A101N4D8PRU6N5,"[-1.0842021724855044e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.168404344971009e-19, 0.0, 1.0842021724855044e-19, 0.0, -5.293955920339377e-23, 0.0, 6.776263578034403e-21, 0.0, -6.617444900424222e-24, 4.235164736271502e-22, 0.0, 0.0, -1.6940658945086007e-21]"
A103DHU1X6VC9T,"[0.0, 0.0, -1.0842021724855044e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0842021724855044e-19, 0.0, 6.776263578034403e-21, 0.0, 0.0, 0.0, -1.6543612251060553e-24, 0.0, 1.6940658945086007e-21, 0.0, 4.235164736271502e-22]"
A1049BXR3MAWT4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.6940658945086007e-21, 0.0, 0.0, 0.0, 0.0, 3.3881317890172014e-21, 0.0, 0.0, 0.0]"
A104MLZZ7X1OTT,"[0.0, -1.0842021724855044e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.293955920339377e-23, 1.6940658945086007e-21, 0.0, 0.0, -1.3552527156068805e-20, 0.0, -4.0389678347315804e-28, 0.0, 0.0, 0.0]"
A105188E1HFWRX,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -6.617444900424222e-24, 0.0, -4.235164736271502e-22, 0.0, -1.3552527156068805e-20, -1.6940658945086007e-21, 0.0, -4.235164736271502e-22, -4.235164736271502e-22, 0.0]"
A1068Y432OYVO5,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3552527156068805e-20, 0.0, 0.0, 0.0, -1.6940658945086007e-21, 0.0, 0.0, 0.0]"
A107OPFJV11RKO,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0587911840678754e-22, 0.0, -3.3881317890172014e-21, 0.0, 0.0, -6.776263578034403e-21, 0.0, 0.0, 1.0587911840678754e-22, 0.0]"
A108SSM7YMMTOM,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.117582368135751e-22, 0.0, 3.308722450212111e-24, -5.293955920339377e-23, -1.6940658945086007e-21, 0.0, 4.235164736271502e-22, 0.0, -2.117582368135751e-22, 0.0]"
A10ADY0N5QKCHQ,"[-1.3552527156068805e-20, -5.421010862427522e-20, -2.710505431213761e-20, 2.710505431213761e-20, 0.0, -1.0842021724855044e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.235164736271502e-22, -1.6940658945086007e-21, 1.0339757656912846e-25, 2.6469779601696886e-23, 4.235164736271502e-22, 4.235164736271502e-22, 0.0, 3.3881317890172014e-21]"
A10APFU4SBMAM1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.470329472543003e-22, 1.6543612251060553e-24, 0.0, 0.0, 0.0, 0.0, 4.235164736271502e-22, 2.710505431213761e-20, 0.0, 0.0]"
A10DNCYK7YISHU,"[0.0, -1.0587911840678754e-22, 0.0, 1.3552527156068805e-20, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.117582368135751e-22, 1.0587911840678754e-22, -2.6469779601696886e-23, 2.117582368135751e-22, 1.6940658945086007e-21, 0.0, 6.617444900424222e-24, -4.235164736271502e-22, -8.470329472543003e-22, 1.3552527156068805e-20]"
A10FRUJV17R7TG,"[0.0, 8.470329472543003e-22, 1.0587911840678754e-22, -4.1359030627651384e-25, 0.0, 2.6469779601696886e-23, 2.117582368135751e-22, 0.0, 0.0, 2.117582368135751e-22, 0.0, 1.6940658945086007e-21, 0.0, -1.6940658945086007e-21, 0.0, 0.0, 0.0, 6.776263578034403e-21, 0.0, 0.0]"
A10HGE7LJ8EQA8,"[0.0, 0.0, 0.0, -1.3552527156068805e-20, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -6.776263578034403e-21, 8.470329472543003e-22, 0.0, 1.6940658945086007e-21, 2.710505431213761e-20, -1.6940658945086007e-21]"
A10IOOZO8K4K39,"[3.3881317890172014e-21, 2.710505431213761e-20, 6.776263578034403e-21, 0.0, 3.3881317890172014e-21, 1.3552527156068805e-20, 5.421010862427522e-20, 0.0, 1.3552527156068805e-20, 0.0, -1.3552527156068805e-20, 0.0, -4.235164736271502e-22, -1.6940658945086007e-21, -1.6940658945086007e-21, -6.776263578034403e-21, 2.117582368135751e-22, 0.0, -8.470329472543003e-22, -1.6940658945086007e-21]"
A10KCGSDJJAVRO,"[1.0842021724855044e-19, 0.0, 0.0, 0.0, 0.0, 4.336808689942018e-19, 4.336808689942018e-19, 0.0, 0.0, 0.0, 0.0, 3.3881317890172014e-21, 0.0, 0.0, 0.0, 4.235164736271502e-22, 1.3234889800848443e-23, 1.6940658945086007e-21, 0.0, 0.0]"
A10KHX41ONY4U1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.6469779601696886e-23, 0.0, -1.6940658945086007e-21, 4.235164736271502e-22, 1.3234889800848443e-23, -6.776263578034403e-21, 2.6469779601696886e-23, 0.0, -8.470329472543003e-22]"
A10M52OJSDB8WK,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.235164736271502e-22, 0.0, 1.0587911840678754e-22, 0.0, 2.6469779601696886e-23, 0.0, 0.0, -3.3881317890172014e-21, 1.3552527156068805e-20, 1.6940658945086007e-21]"
