Key,Array
3426958910,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.5093458640650822, 0.7003505630894881, 0.7640187960976232, 0.0, 0.0, 0.2018468960563484, 0.5212042433750067, 0.4058019314835417, 0.3590951783837943, 0.44948746924629795, 0.2548851081513001, 0.033019526574847684, 0.31430881634655145, 0.18626130853679845, 0.05700533804805216]"
5557706259,"[2.5783835437872984, 2.5783835437872984, 2.5783835437872984, 2.5783835437872984, 0.0, 2.5783835437872984, 0.0, 2.5783835437872984, 0.0, 0.0, 0.09968640772523012, 0.5754130059615964, 0.608729360934567, 0.5296502957109199, 0.4349878789624159, 0.05351144847401637, 0.24680217222331274, 0.19536862514754996, 0.4072329808733189, 0.43890193092794355]"
5559166928,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.499876932205206, 0.4268244372586716, 0.5064660310704371, 0.36830724280187016, 0.5486437050008824, 0.14155908562976413, 0.43628684654243893, 0.14765477885148642, 0.5611658467706576, 0.32125589978216484]"
7799420340,"[2.5, 0.0, 2.5, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.325994742152512, 0.44257628161646967, 0.15366201569888674, 0.7125294096322622, 0.2142333502264929, 0.5779995357693398, 0.4645636495653082, 0.21847360926531714, 0.5039259825789826, 0.5022819040402825]"
9434682614,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12812818325243666, 0.0, 0.0, 0.24196135018862122, 0.1880170748584331, 0.13816092271052594, 0.3354076648615822, 0.3836999807868982, 0.4108893327155668, 0.38960302837289845, 0.5450037226343917, 0.11033386477678427, 0.4111400886437697]"
9714721180,"[2.6873063307382417, 0.0, 0.0, 0.0, 0.0, 2.6873063307382417, 2.6873063307382417, 0.0, 0.0, 2.6873063307382417, 0.17973555799356095, 0.2529269926163289, 0.5393335264466672, 0.6951572615252188, 0.2544118002584084, 0.21290345557007734, 0.3604693606358912, 0.7079430217826133, 0.2615655853216885, 0.7632366037619751]"
9721717150,"[0.0, 0.0, 0.0, 0.0, 0.0, -0.1944740539489226, 0.0, 0.0, 0.0, -0.1944740539489226, 0.6199188033597941, 0.08069756297194197, 0.6028773768907604, 0.2082193560413813, 0.5322315629663495, 0.3479434145675598, 0.21331200279506926, 0.6245470867067998, 0.5151171350811133, 0.06364206777633913]"
B000002TTH,"[2.5, 2.5, 0.0, 0.0, 0.0, 2.5, 2.5, 0.0, 0.0, 0.0, 0.4277807994846698, 0.5809956743498891, 0.3516456595910984, 0.16625416586644046, 0.5797888250086779, 0.30518375097512984, 0.18606858377714947, 0.456754999954602, 0.2887345424250069, 0.2778495530703572]"
B000006045,"[0.0, 2.5468151953185676, 0.0, 0.0, 0.0, 2.5468151953185676, 2.5468151953185676, 0.0, 0.0, 0.0, 0.623791687647153, 0.09407513556586267, 0.511823082995677, 0.3282859584839756, 0.44698481982735266, 0.3667682616628233, 0.19070565112667445, 0.051610485436096594, 0.059111687311200214, 0.17198640069971605]"
B00000747R,"[2.655936530890683, 2.655936530890683, 0.0, 0.0, 0.0, 2.655936530890683, 0.0, 0.0, 0.0, 0.0, 0.5388780245922594, 0.47731736703783395, 0.0514383044692583, 0.18114936706697932, 0.4357018650194017, 0.06701561474042662, 0.22531751441861222, 0.5322131763050941, 0.3131854404471347, 0.3761560712288295]"
B000007UVW,"[2.655825066683904, 0.0, 2.655825066683904, 0.0, 0.0, 2.655825066683904, 2.655825066683904, 0.0, 0.0, 0.0, 0.5190891388073531, 0.1441541505820593, 0.5748886075408689, 0.18616572166128725, 0.46329496193775566, 0.513191915200372, 0.5298857466679633, 0.253990115852531, 0.30480600450005696, 0.5366897793192588]"
B00000I7LP,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3746526187004837, 0.0, 0.0, 0.6873263093502419, 0.5529624672775453, 0.4647771929268641, 0.408728160169264, 0.14983721267868766, 0.29353688158769947, 0.34551285529581083, 0.4311410170377614, 0.04156281948514024, 0.42170548856528733, 0.4771990535503879]"
B00004TTUZ,"[0.0, 2.6710242923606975, 2.6710242923606975, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5750041653452423, 0.48500677041831375, 0.2974235305384082, 0.5471152993795225, 0.5310262072927994, 0.016475429527173274, 0.2846812174407917, 0.007167024775384449, 0.5693910703710355, 0.5130405407366643]"
B0000564WK,"[2.7026185836517365, 2.7026185836517365, 0.0, 0.0, 0.0, 0.0, 2.7026185836517365, 0.0, 0.0, 0.0, 0.2733588159905007, 0.5709043163709107, 0.30817657806294385, 0.1750653185360518, 0.0960022207538923, 0.4057101174256965, 0.11040904795992466, 0.5587099182721097, 0.09248025519873138, 0.196727457338398]"
B000091NES,"[0.5695414821462248, 0.5695414821462248, 0.5695414821462248, 0.0, 0.0, 0.0, 0.5695414821462248, 0.0, 0.0, 0.0, 0.38486130390161855, 0.15790293088515786, 0.21261401460506485, 0.14354130235517626, 0.3091562445900755, 0.44567106613079, 0.47133638178213605, 0.3522705056062111, 0.01827871887056528, 0.5434432454057507]"
B0002HA8IA,"[2.6561995188920036, 2.6561995188920036, 0.0, 2.6561995188920036, 0.0, 2.6561995188920036, 0.0, 0.0, 0.0, 0.0, 0.28330281771112337, 0.5754970654620427, 0.40230435671197573, 0.09640502188704086, 0.13103434877672404, 0.1588702714556315, 0.2201219451752786, 0.46649929695879394, 0.28400967634358265, 0.26932852534129276]"
B0006TTLIC,"[-2.4843702863731054, -2.4843702863731054, -2.4843702863731054, 0.0, 0.0, -2.4843702863731054, 0.0, 0.0, 0.0, 0.0, 0.04229877948771452, 0.16832983621054312, 0.4834446785844868, 0.15286891623612162, 0.28693957265673103, 0.03197492913603504, 0.5422370515010133, 0.31939401737675394, 0.23570979037817627, 0.4782076135683106]"
B000BD5OPM,"[2.320483753035461, 0.0, 0.0, 0.0, 0.0, 1.9981943428916469, 0.0, 0.0, 0.0, 0.0, 0.20770113150746053, 0.3302984540152481, 0.5318736347496685, 0.37615873361194013, 0.3767179921433171, 0.10558550734148764, 0.19231295891641662, 0.2616509529715366, 0.38550003818964684, 0.5557222664277548]"
B000BD6NHU,"[2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5, 0.0, 0.0, 0.4294995946310913, 0.03694041046341959, 0.4201434620667885, 0.43875736705420987, 0.5302329997674461, 0.010285156917195969, 0.10196264444281657, 0.408385240350597, 0.27444860894623907, 0.2753959143383368]"
B000BD8WUQ,"[0.0, 2.6403248223633953, 0.0, 0.0, 0.0, 2.6403248223633953, 0.0, 0.0, 2.6403248223633953, 2.6403248223633953, 0.08786627851431277, 0.29148961573029936, 0.4853336693001259, 0.589370531108528, 0.2733189483304907, 0.5167916739155793, 0.5888649691990074, 0.18040671409193362, 0.3905237155692073, 0.31753015718730065]"
B000EO8VMQ,"[0.946291947017434, 0.946291947017434, 0.946291947017434, 0.946291947017434, 0.946291947017434, 0.946291947017434, 0.946291947017434, 0.946291947017434, 0.946291947017434, 0.946291947017434, 0.5608901712508215, 0.4466226452657506, 0.05248479115181199, 0.06938846566831892, 0.5147742779580285, 0.15895090783788016, 0.5827078313379903, 0.5020586367585539, 0.1992721298427891, 0.38416105815267065]"
B000FWGU84,"[0.0, 2.478770411328465, 0.0, 2.2830780104341124, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4181683115861345, 0.22643610309805426, 0.4432991629013826, 0.23702723129416525, 0.17324785427089545, 0.25886073126877546, 0.27660884349735804, 0.5693310919422776, 0.3751702396082652, 0.5642587682309462]"
B000LWZD7M,"[0.0, 2.578143228181781, 0.0, 2.578143228181781, 0.0, 2.578143228181781, 0.0, 0.0, 0.0, 2.578143228181781, 0.3155544883793843, 0.4759243842187664, 0.39885581777849183, 0.41259190023116205, 0.23536391001854393, 0.4987245217881154, 0.1470057143852496, 0.5744857057404467, 0.24908370009096206, 0.22767079356167225]"
B000MSTZV0,"[2.687341257035591, 2.687341257035591, 0.0, 2.687341257035591, 0.0, 2.687341257035591, 0.0, 0.0, 0.0, 0.0, 0.2665646931599139, 0.3256309318817172, 0.1611564776997887, 0.35606832816551554, 0.4514419956065519, 0.017434566319383463, 0.057382032361612136, 0.2365418065464691, 0.2629181108027101, 0.5337689131510955]"
B000P56BSK,"[2.687310754590011, 2.687310754590011, 0.0, 2.687310754590011, 0.0, 2.687310754590011, 2.687310754590011, 0.0, 0.0, 0.0, 0.03948995531435478, 0.23135552032093504, 0.5643602359870374, 0.09391426138725387, 0.26114463083421724, 0.5802681816640751, 0.5287387891439297, 0.2258491722968891, 0.5085150964472336, 0.04454626967602748]"
B000PHA2XS,"[2.5781493182918807, 2.5781493182918807, 2.5781493182918807, 0.0, 0.0, 0.0, 0.0, 2.5781493182918807, 0.0, 0.0, 0.11906292735549244, 0.33455388331000463, 0.3357137710950545, 0.5224157638938391, 0.2970684201311404, 0.4672450510462727, 0.4414685057067542, 0.07738395125631964, 0.08476270789119254, 0.09268780731339524]"
B000QLO4IM,"[0.0, 1.6857853844686788, 0.0, 0.0, 0.0, 1.4912716862607545, 0.0, 0.0, 0.0, 0.0, 0.10902078401006415, 0.09340289145644971, 0.07635193623291169, 0.597671097635198, 0.06349122528412579, 0.4032084708502428, 0.058651355272818693, 0.3903549885137956, 0.5907435719536608, 0.5439029395665214]"
B000QLYCAC,"[0.0, 2.5, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02806123420214537, 0.19218327025492407, 0.36473397685000203, 0.01748388624537516, 0.5327644490290747, 0.3048027345370435, 0.01329533020909273, 0.2430173065819818, 0.33999721492976664, 0.41408046784031255]"
B000QMCWMG,"[0.7359762721555072, 0.7359762721555072, 0.7359762721555072, 0.7359762721555072, 0.7359762721555072, 0.7359762721555072, 0.7359762721555072, 0.7359762721555072, 0.7359762721555072, 0.7359762721555072, 0.11183549040332619, 0.32282052944229067, 0.3907810776875795, 0.164828211736106, 0.39616483582837064, 0.19902418478590064, 0.42615851810608213, 0.2789791480453575, 0.529684162773938, 0.28725998485606463]"
B000QMDXDS,"[0.0, 0.0, 0.0, 2.6400619003317827, 0.0, 0.0, 2.6400619003317827, 0.0, 0.0, 0.0, 0.4436644090359265, 0.5791035463615679, 0.38609972144151733, 0.5129879054959406, 0.18941132619206177, 0.5791021890135732, 0.31883707032200526, 0.0891219498345103, 0.12014963815041718, 0.3971719548058978]"
B000QMFUJ8,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.5781513307549, 0.3510902161845307, 0.3138057225971017, 0.24496716051393908, 0.4539802954892258, 0.4616305224929362, 0.08907580084691206, 0.47750918542563525, 0.6040562143212165, 0.07915142511071245, 0.0458685737101466]"
B000QMG34E,"[0.0, 2.5, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1089874553395413, 0.5472055418439897, 0.5890825188764797, 0.07674098861343369, 0.4400669701748623, 0.44655011022560354, 0.3945823674183548, 0.020472501764117756, 0.35601711434831673, 0.4171597395665927]"
B000QMHRMG,"[0.0, 0.0, 2.5929769328465735, 2.5929769328465735, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.26317085485007474, 0.3021769020937706, 0.195838177630962, 0.10486565246001228, 0.4417290957383467, 0.26078358419975384, 0.45842431034747205, 0.2519948404074969, 0.21136340516802485, 0.3487159794097173]"
B000QMHRP8,"[0.0, 2.5, 2.5, 0.0, 0.0, 2.5, 0.0, 2.5, 0.0, 0.0, 0.46447035033081513, 0.05143397416773449, 0.2900948682237227, 0.07946377336418822, 0.5083515602106069, 0.21845450522195198, 0.4675948827604105, 0.47654214706894504, 0.05782306352186933, 0.3143068153023142]"
B000QNT5TS,"[2.25, 2.0, 2.3125, 0.0, 0.0, 0.0, 0.0, 2.25, 0.0, 0.0, 0.26241314971991747, 0.15974269778021558, 0.08937096042251474, 0.11157441711203428, 0.555996439882195, 0.4218713052018063, 0.5411335180035737, 0.5317452835480169, 0.5621688503020618, 0.4912818886652542]"
B000QNVB5E,"[0.0, 0.0, 0.0, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.342350698115057, 0.36071694566891244, 0.3613572907776463, 0.4055431877668167, 0.05453014111480206, 0.5328412113265606, 0.38410278620850646, 0.34103360336259064, 0.26441316754517824, 0.1512822367286376]"
B000QNZNNA,"[0.0, 0.0, 0.0, 0.0, 0.0, 2.5781214643807298, 0.0, 0.0, 0.0, 0.0, 0.539444056082226, 0.12986885407610663, 0.5976679044970502, 0.5085053740890233, 0.5054418681403869, 0.08238667088777704, 0.3114405192411986, 0.41531298955295887, 0.5236499511941097, 0.0932325762845664]"
B000QO3H3W,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.24179219923492765, 0.1455379785390683, 0.2524286965479286, 0.29367705306916003, 0.12132077638477337, 0.13997857444850653, 0.15295831536620694, 0.05225648059443323, 0.22444224068085994, 0.19991478243422958]"
B000QO5DAC,"[2.578107989327255, 2.578107989327255, 2.578107989327255, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5655492379402414, 0.07102006617566307, 0.047586436438579016, 0.5130709013139411, 0.3323042616307756, 0.506378642784677, 0.5965958499336125, 0.03455196796541421, 0.4936813920238524, 0.43599715232008424]"
B000QO6B1C,"[0.4621194688121895, 0.4621194688121895, 0.924238937624379, 0.4621194688121895, 0.4621194688121895, 0.4621194688121895, 0.924238937624379, 0.4621194688121895, 0.4621194688121895, 0.4621194688121895, 0.532286323440988, 0.2668358323423196, 0.2970854731255956, 0.17759197722150322, 0.35876549685970477, 0.09602261720057895, 0.3636581044370601, 0.3991855334203622, 0.19270501231046397, 0.48100251824583534]"
B000QO760C,"[0.0, 0.0, 2.5778186397618246, 2.5778186397618246, 0.0, 0.0, 2.5778186397618246, 0.0, 0.0, 0.0, 0.0403378278585013, 0.45014895959790435, 0.15391822643792472, 0.3215245860240271, 0.049245847899539966, 0.48272162736598956, 0.5780871536832357, 0.40954233508977145, 0.4524658493534905, 0.42260263660461755]"
B000QO8WUU,"[2.6715129591003772, 2.6715129591003772, 0.0, 0.0, 0.0, 2.6715129591003772, 0.0, 0.0, 0.0, 0.0, 0.13547119883108, 0.43938316547692396, 0.06398031060090366, 0.4440742883514991, 0.2124675917117906, 0.2413421599446561, 0.07484691896908013, 0.5599237161399179, 0.18112895705483018, 0.431595598047133]"
B000QOBQJO,"[0.0, 0.0, 2.5, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04259487990484372, 0.4669503612786342, 0.4852750998900188, 0.08759884856313807, 0.3683505227921579, 0.08646379932344116, 0.5328319861721387, 0.29965404993808853, 0.4969384302122149, 0.577613281961811]"
B000QOCEMW,"[0.0, 0.0, 0.0625, 0.0, 0.0, 0.1875, 0.0, 0.0625, 0.0, 0.0, 0.5888400815459505, 0.2996168212893898, 0.13912698080303795, 0.5885931819351878, 0.4693856291216163, 0.06960264794741244, 0.508300773598544, 0.19480327962099403, 0.26122457801016413, 0.33796953859274464]"
B000QOEN6W,"[0.0, 0.5764802586290474, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7686403448387298, 0.0, 0.0, 0.2894084871634491, 0.5487964778891815, 0.3710961745163543, 0.3255447946192975, 0.5252777092139805, 0.6410003071780424, 0.2735932768360213, 0.30788656189538405, 0.1928701039126315, 0.5600139149988126]"
B000QOIE8K,"[0.0, 0.8379227457317532, 0.0, 0.0, 0.7734671499062338, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06544322153085468, 0.2595028555391078, 0.23643344288746143, 0.33722354820630945, 0.3867840412401772, 0.12936763692383085, 0.4892158049741209, 0.16108806584975868, 0.3437112249857198, 0.4053794524202955]"
B000QOMANK,"[0.0, 0.0, 2.5, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.47894846865765395, 0.5537936973445616, 0.3901050083711067, 0.2454335475768607, 0.2157560825528805, 0.5402702352523047, 0.25934857907278264, 0.05940621893050563, 0.5788618778792118, 0.5099289380675256]"
B000QON62O,"[0.0, 0.0, 1.446450950870459, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.5093401226474354, 0.2299519797760492, 0.13796547851569685, 0.16259040391074128, 0.22848471935795076, 0.2721590537824089, 0.22156066046990258, 0.3898242002142013, 0.5489866280192279, 0.10865786637772662, 0.14529497032630745]"
B000QON8M2,"[0.06289082552941137, 0.06289082552941137, 0.0, 0.0, 0.06289082552941137, 0.06289082552941137, 0.06289082552941137, 0.06289082552941137, 0.06289082552941137, -0.06289082552941137, 0.2411015472684333, 0.30662788209810066, 0.2131572395113454, 0.3391805804599963, 0.34884913609804186, 0.39208284531847354, 0.30335455561089303, 0.4733170247279386, 0.153969616281931, 0.552993647922666]"
