Key,Array
A0072041HVZ3465DXUOR,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.6918029976876777, 0.0, 0.0, 0.37309497746003845, 0.1593755908064676, 0.3615262078672485, 0.30571666249993007, 0.2604548283803333, 0.5218970166802177, 0.5030253768014991, 0.05411557960544862, 0.28552029767540593, 0.32725642475921735]"
A101N4D8PRU6N5,"[2.4999454003473423, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.4999454003473423, 0.0, 2.4999454003473423, 0.517822643790545, 0.104569746311366, 0.0947152668889818, 0.4777857330590968, 0.29352658333562337, 0.5342475967898792, 0.3937105360792223, 0.09694130223540182, 0.09806849773505037, 0.37280786273754524]"
A103DHU1X6VC9T,"[0.0, 0.0, 2.5934422278577687, 0.0, 0.0, 2.5934422278577687, 0.0, 0.0, 0.0, 2.5934422278577687, 0.08070706981406751, 0.4211691248142799, 0.4782474804129181, 0.4291305541487563, 0.23956808221915474, 0.5289642588958995, 0.02737327404744792, 0.27172599280240145, 0.5884457692959516, 0.1929674001095896]"
A1049BXR3MAWT4,"[0.0, 0.0, 1.25, 0.0, 0.0, 0.0, 2.375, 0.0, 0.0, 0.0, 0.5206218956848911, 0.38651712056520615, 0.07170224147704339, 0.3721739780738025, 0.30200491726118417, 0.5749776314550369, 0.42106159331490545, 0.607102331100271, 0.2487083209130564, 0.16889921210175604]"
A104MLZZ7X1OTT,"[0.0, 2.7400421228670293, 0.0, 0.0, 0.0, 2.7400421228670293, 0.0, 0.0, 0.0, 2.7400421228670293, 0.2741891647174603, 0.1864613314806101, 0.2703829836870422, 0.09707710633182312, 0.5038419811441333, 0.21414100987909482, 0.053593968386731555, 0.4332217490239737, 0.1815880796294044, 0.5638045352336584]"
A105188E1HFWRX,"[0.0, 0.0, 2.25, 1.5625, 0.0, 1.5625, 0.0, 0.0, 0.0, 1.5625, 0.5075972385568844, 0.20617204992101945, 0.4338905217486404, 0.5407961827285507, 0.5996156005017873, 0.16571427276940018, 0.331119933280884, 0.08728523214362448, 0.43402566839345497, 0.1550266867001758]"
A1068Y432OYVO5,"[0.0, 0.0, 0.0, 1.625, 0.0, 0.0, 0.0, 2.4375, 0.0, 0.0, 0.4805175885519122, 0.5540844160479956, 0.44612251535119896, 0.28526053120415146, 0.10466947964660882, 0.5289432170515559, 0.23857180220141655, 0.03565771268240739, 0.2707105304353242, 0.3636916405582245]"
A107OPFJV11RKO,"[2.5, 2.5, 2.5, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.575964491775402, 0.39165017871765556, 0.22057696695618195, 0.43974409393185376, 0.1540159844548435, 0.5574143259764534, 0.4903816970364804, 0.10676357467847165, 0.28240057277488934, 0.2811386140189037]"
A108SSM7YMMTOM,"[0.0, 0.0, 2.5, 0.0, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.05770438115616069, 0.5104575441959107, 0.25329568227250276, 0.2507059186515314, 0.4322611355920402, 0.46081742208455023, 0.3010921044709126, 0.12420588345555447, 0.3479369198333984, 0.5406133106667426]"
A10ADY0N5QKCHQ,"[1.36638285205229, 1.36638285205229, 1.36638285205229, 1.36638285205229, 1.36638285205229, 1.36638285205229, 1.36638285205229, 1.36638285205229, 1.36638285205229, 1.36638285205229, 0.06571892364963174, 0.2804121861337662, 0.32284600694772475, 0.25499325408890106, 0.013878900857483755, 0.2477831201459691, 0.10117697243853373, 0.11606105297021223, 0.08099120404213062, 0.33975592183892817]"
A10APFU4SBMAM1,"[2.5, 0.0, 2.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.24896688062408226, 0.05601839500322136, 0.48602833290979136, 0.11840069267724782, 0.0469709917327534, 0.5462896034280065, 0.1875395866269863, 0.49264309394176, 0.2054437134230561, 0.0407315087722482]"
A10DNCYK7YISHU,"[-0.26561011255366135, 0.46481769696890735, 0.0, 0.6640252813841534, 0.0, 0.7304278095225687, -0.06640252813841534, -0.199207584415246, 0.0, 0.0, 0.4172843265896482, 0.27739414375791205, 0.34973407044899807, 0.07211794639269316, 0.19224833987235687, 0.4142333878874662, 0.1249842497911245, 0.0850090243863586, 0.33300723060826465, 0.44227290438248035]"
A10FRUJV17R7TG,"[-0.1226539820536296, -0.1226539820536296, -0.1226539820536296, -0.1226539820536296, -0.0613269910268148, -0.0613269910268148, -0.0613269910268148, -0.0613269910268148, -0.1226539820536296, -0.1226539820536296, 0.08609274223442284, 0.21935274155841497, 0.4433986937059644, 0.364435772967615, 0.010888556339737402, 0.2399220831871501, 0.07442155090060822, 0.2628170068066216, 0.5237734572288583, 0.3144367679715956]"
A10HGE7LJ8EQA8,"[0.0, 0.0, 0.7546645891991163, 0.7546645891991163, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.37179859330969955, 0.12686528236071762, 0.3300578594805103, 0.51993117228602, 0.38367215770448854, 0.2835563367268121, 0.06972816777071633, 0.3140782310710067, 0.5987256884862066, 0.15154842110961897]"
A10IOOZO8K4K39,"[0.5939900961079168, 0.5939900961079168, 1.121981292648287, 1.121981292648287, 0.5939900961079168, 0.5939900961079168, 1.121981292648287, 0.5939900961079168, 0.5939900961079168, 1.121981292648287, 0.4166776441128092, 0.2264207431111787, 0.5286607036523775, 0.27334172221022357, 0.36778536457915656, 0.3444303798839878, 0.44124190163769245, 0.05609420839489779, 0.4322629516987175, 0.1645281718122087]"
A10KCGSDJJAVRO,"[2.5780329965687967, 2.5780329965687967, 0.0, 0.0, 0.0, 2.5780329965687967, 2.5780329965687967, 0.0, 0.0, 0.0, 0.540675160690664, 0.34112937779562363, 0.2700546083357522, 0.45766731549804823, 0.4044568122233342, 0.35038789237957296, 0.10365324148887922, 0.4738687050536695, 0.30657412571908427, 0.41844450355972673]"
A10KHX41ONY4U1,"[0.0, 0.0, 2.5, 2.5, 2.5, 0.0, 0.0, 0.0, 0.0, 2.5, 0.161661667044156, 0.0810566069061641, 0.20460703401419825, 0.2635595106212978, 0.20252874808571214, 0.023777185814688642, 0.41827598200952765, 0.030750206249824538, 0.2612932264825515, 0.1796833727323479]"
A10M52OJSDB8WK,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1407979006707837, 0.5018396802383334, 0.5449899293612364, 0.2532751215760643, 0.036334130990580575, 0.09008264792638539, 0.044472728741411366, 0.5110449610861879, 0.4951975895015296, 0.45843693179013867]"
A10NPPQEOF8QN6,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5414411744538936, 0.09947585445710182, 0.24270749837985728, 0.2718785404868967, 0.36251186187710216, 0.01768140113421427, 0.35768904726470707, 0.23460176349119927, 0.5113453094155763, 0.024382078783177594]"
