id,T_v,overall,reviewText,C_v,V_d,TV_new
15,-1,1.0,Worst shampoo Ive ever used.  Was mostly water.  I could not get a good lather.  Hair never felt clean after use.  I cannot understand why so many good reviews.  Will not buy again!,0.3236111111111111,1.323611111111111,1
25,1,5.0,The best one Ive ever used!!!,1.0,0.0,-1
30,-1,1.0,"This really dries out my hair and makes it feel even thinner than it already is. The smell is nice, but consistency is pretty much water. I honestly think most of the reviews are False ",0.2785714285714286,1.2785714285714285,1
32,-1,2.0,I really like using organic products and this product had awesome reviews. Ive been seeing a dermatologist for my psoriasis and received a much of topical cream and even steroid injections. So I wanted to go more oganic. It still didn't work and Ive used the whole bottle. It didn't even help improve it any bit. Im sure this may work for someone else but it didn't for me.,0.39999999999999997,1.4,1
42,-1,1.0,"I bought this shampoo because the description stated it was gentle, for itchy, red and irritated scalp. I used it one time and it burned my scalp almost immediately! I bought two bottles and I am returning them both!  I honestly don't know how it get so many good reviews.",0.4,1.4,1
55,1,5.0,I love this shampoo!!!!!!,1.0,0.0,-1
67,1,5.0,Excellent product.,1.0,0.0,-1
69,1,5.0,This is one of the BEST shampoos for swimmers. I always got complements on my hair since I started using this product. Unavailable now.,1.0,0.0,-1
76,1,5.0,"Biolage is a great product.
Thank you for providing the product for me.
All Biolage products are wonderful.
Thank you!",0.9,0.09999999999999998,-1
98,1,5.0,Wife uses this cream always. Hard to get.,-0.2916666666666667,1.2916666666666667,-1
99,1,5.0,Also a very good product,0.9099999999999999,0.09000000000000008,-1
100,1,5.0,Excellent product,1.0,0.0,-1
101,1,5.0,Best stuff on earth for your hair!,1.0,0.0,-1
126,1,5.0,Great product!,1.0,0.0,-1
146,1,5.0,Good Stuff!,0.875,0.125,-1
150,1,5.0,best for keratin treatments,1.0,0.0,-1
156,-1,3.0,"This product is a great deal. They don't sell this in the salon anymore, you can only find it online. It is a great product if you are looking for a shine. It did not work well as an anti-frizz product.",0.5333333333333333,1.5333333333333332,1
159,1,5.0,Perfect size.,1.0,0.0,-1
177,1,4.0,"Perfect for a pleasant ""all day essence""!",0.9583333333333333,0.04166666666666674,-1
179,1,5.0,Works great!,1.0,0.0,-1
198,1,5.0,Excellent product! Excellent transaction.,1.0,0.0,-1
201,1,5.0,My favorite!!!!!,1.0,0.0,-1
203,1,5.0,"Smells wonderful. Feels great on hands and arms, etc.",0.9,0.09999999999999998,-1
206,1,5.0,Excellent product,1.0,0.0,-1
211,1,5.0,Great anti-frizz product!,1.0,0.0,-1
217,1,5.0,Beautiful hair after use...shiny !,1.0,0.0,-1
223,1,5.0,Excellent! Best soap I ever had.,1.0,0.0,-1
225,1,5.0,Great product!!,1.0,0.0,-1
232,1,5.0,I get more compliments when I wear this lotion!!!,0.9765625,0.0234375,-1
236,1,5.0,Worked great!,1.0,0.0,-1
